cat_idx,cat_id,cat_name_zh,image_filename
00,00-orange-shorthair-mackerel-tabby,短毛橘猫鱼骨纹,00_短毛橘猫鱼骨纹.png
01,01-orange-shorthair-classic-tabby,短毛橘猫经典虎斑,01_短毛橘猫经典虎斑.png
02,02-orange-longhair,长毛橘猫,02_长毛橘猫.png
03,03-cream-shorthair-tabby,短毛奶油虎斑猫,03_短毛奶油虎斑猫.png
04,04-cream-white-longhair,长毛奶油加白猫,04_长毛奶油加白猫.png
05,05-orange-white-van-shorthair,短毛橘白梵花猫,05_短毛橘白梵花猫.png
06,06-black-shorthair,短毛黑猫,06_短毛黑猫.png
07,07-odd-eyed-white-longhair,长毛异瞳白猫,07_长毛异瞳白猫.png
08,08-brown-shorthair-mackerel-tabby,短毛棕色鱼骨纹猫,08_短毛棕色鱼骨纹猫.png
09,09-brown-shorthair-classic-tabby,短毛棕色经典虎斑猫,09_短毛棕色经典虎斑猫.png
10,10-silver-spotted-shorthair,短毛银色斑点猫,10_短毛银色斑点猫.png
11,11-black-white-tuxedo,黑白燕尾服猫,11_黑白燕尾服猫.png
12,12-calico-shorthair,短毛三花猫,12_短毛三花猫.png
13,13-dilute-calico-shorthair,短毛淡三花猫,13_短毛淡三花猫.png
14,14-black-tortoiseshell-shorthair,短毛黑玳瑁猫,14_短毛黑玳瑁猫.png
15,15-blue-cream-tortoiseshell-shorthair,短毛蓝奶油玳瑁猫,15_短毛蓝奶油玳瑁猫.png
16,16-abyssinian-ruddy,阿比西尼亚猫原色,16_阿比西尼亚猫原色.png
17,17-somali-sorrel,索马里猫索雷尔色,17_索马里猫索雷尔色.png
18,18-bengal-rosetted,孟加拉猫玫瑰斑,18_孟加拉猫玫瑰斑.png
19,19-bengal-snow-marbled,孟加拉猫雪色大理石纹,19_孟加拉猫雪色大理石纹.png
20,20-egyptian-mau,埃及猫,20_埃及猫.png
21,21-ocicat-tawny,奥西猫黄褐色,21_奥西猫黄褐色.png
22,22-savannah,萨凡纳猫,22_萨凡纳猫.png
23,23-maine-coon,缅因猫,23_缅因猫.png
24,24-norwegian-forest-amber,挪威森林猫琥珀色,24_挪威森林猫琥珀色.png
25,25-siberian-silver,西伯利亚猫银色,25_西伯利亚猫银色.png
26,26-neva-masquerade-seal-lynx-point,涅瓦假面猫海豹山猫纹,26_涅瓦假面猫海豹山猫纹.png
27,27-ragdoll-blue-bicolor,布偶猫蓝双色,27_布偶猫蓝双色.png
28,28-birman-seal-point,伯曼猫海豹重点色,28_伯曼猫海豹重点色.png
29,29-persian-chinchilla,波斯猫金吉拉色,29_波斯猫金吉拉色.png
30,30-exotic-shorthair-cream,异国短毛猫奶油色,30_异国短毛猫奶油色.png
31,31-turkish-angora,土耳其安哥拉猫,31_土耳其安哥拉猫.png
32,32-turkish-van,土耳其梵猫,32_土耳其梵猫.png
33,33-himalayan-flame-point,喜马拉雅猫火焰重点色,33_喜马拉雅猫火焰重点色.png
34,34-siamese-seal-point,暹罗猫海豹重点色,34_暹罗猫海豹重点色.png
35,35-balinese-seal-point,巴厘猫海豹重点色,35_巴厘猫海豹重点色.png
