id,source_id,input_image,source_reference_video,reference_video,prompt_file,cat_idx,cat_id,cat_name_zh,motion_idx,motion_id,motion_slug,motion_name_zh,seed,output_name,duration_seconds,reference_duration_seconds,fps,width,height,source_aspect_ratio,aspect_ratio,prompt_version,prompt_status,prompt_sha256,source_reference_sha256
000,0,../data_h3/cat_ids/00_短毛橘猫鱼骨纹.png,Ref_drag_ear.mp4,prepared/Ref_drag_ear.motion.mp4,prompts/drag_ear.v1.en.txt,00,00-orange-shorthair-mackerel-tabby,短毛橘猫鱼骨纹,02,02-pull-left-ear,drag_ear,左前爪轻擦左耳与脸部后恢复坐姿,0,000_00-orange-shorthair-mackerel-tabby_02-pull-left-ear_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear.v1,pending_model_validation,dbdc93fe3f0e922d0d53d3b6c78e213e176b5230876cf046e5da697fd2320d7b,241a5d66949edcf078e592e2d02939921c2ff68968a95640d4e5a7e2c4fe75c1
001,0,../data_h3/cat_ids/00_短毛橘猫鱼骨纹.png,Ref_drag_ear.mp4,prepared/Ref_drag_ear.motion.mp4,prompts/drag_ear.v1.en.txt,00,00-orange-shorthair-mackerel-tabby,短毛橘猫鱼骨纹,02,02-pull-left-ear,drag_ear,左前爪轻擦左耳与脸部后恢复坐姿,10000,001_00-orange-shorthair-mackerel-tabby_02-pull-left-ear_seed-10000,4,4.0,24,480,832,15:26,9:16,drag_ear.v1,pending_model_validation,dbdc93fe3f0e922d0d53d3b6c78e213e176b5230876cf046e5da697fd2320d7b,241a5d66949edcf078e592e2d02939921c2ff68968a95640d4e5a7e2c4fe75c1
002,0,../data_h3/cat_ids/00_短毛橘猫鱼骨纹.png,Ref_drag_ear.mp4,prepared/Ref_drag_ear.motion.mp4,prompts/drag_ear.v1.en.txt,00,00-orange-shorthair-mackerel-tabby,短毛橘猫鱼骨纹,02,02-pull-left-ear,drag_ear,左前爪轻擦左耳与脸部后恢复坐姿,20000,002_00-orange-shorthair-mackerel-tabby_02-pull-left-ear_seed-20000,4,4.0,24,480,832,15:26,9:16,drag_ear.v1,pending_model_validation,dbdc93fe3f0e922d0d53d3b6c78e213e176b5230876cf046e5da697fd2320d7b,241a5d66949edcf078e592e2d02939921c2ff68968a95640d4e5a7e2c4fe75c1
003,1,../data_h3/cat_ids/01_短毛橘猫经典虎斑.png,Ref_drag_ear.mp4,prepared/Ref_drag_ear.motion.mp4,prompts/drag_ear.v1.en.txt,01,01-orange-shorthair-classic-tabby,短毛橘猫经典虎斑,02,02-pull-left-ear,drag_ear,左前爪轻擦左耳与脸部后恢复坐姿,0,003_01-orange-shorthair-classic-tabby_02-pull-left-ear_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear.v1,pending_model_validation,dbdc93fe3f0e922d0d53d3b6c78e213e176b5230876cf046e5da697fd2320d7b,241a5d66949edcf078e592e2d02939921c2ff68968a95640d4e5a7e2c4fe75c1
004,1,../data_h3/cat_ids/01_短毛橘猫经典虎斑.png,Ref_drag_ear.mp4,prepared/Ref_drag_ear.motion.mp4,prompts/drag_ear.v1.en.txt,01,01-orange-shorthair-classic-tabby,短毛橘猫经典虎斑,02,02-pull-left-ear,drag_ear,左前爪轻擦左耳与脸部后恢复坐姿,10000,004_01-orange-shorthair-classic-tabby_02-pull-left-ear_seed-10000,4,4.0,24,480,832,15:26,9:16,drag_ear.v1,pending_model_validation,dbdc93fe3f0e922d0d53d3b6c78e213e176b5230876cf046e5da697fd2320d7b,241a5d66949edcf078e592e2d02939921c2ff68968a95640d4e5a7e2c4fe75c1
005,1,../data_h3/cat_ids/01_短毛橘猫经典虎斑.png,Ref_drag_ear.mp4,prepared/Ref_drag_ear.motion.mp4,prompts/drag_ear.v1.en.txt,01,01-orange-shorthair-classic-tabby,短毛橘猫经典虎斑,02,02-pull-left-ear,drag_ear,左前爪轻擦左耳与脸部后恢复坐姿,20000,005_01-orange-shorthair-classic-tabby_02-pull-left-ear_seed-20000,4,4.0,24,480,832,15:26,9:16,drag_ear.v1,pending_model_validation,dbdc93fe3f0e922d0d53d3b6c78e213e176b5230876cf046e5da697fd2320d7b,241a5d66949edcf078e592e2d02939921c2ff68968a95640d4e5a7e2c4fe75c1
006,2,../data_h3/cat_ids/02_长毛橘猫.png,Ref_drag_ear.mp4,prepared/Ref_drag_ear.motion.mp4,prompts/drag_ear.v1.en.txt,02,02-orange-longhair,长毛橘猫,02,02-pull-left-ear,drag_ear,左前爪轻擦左耳与脸部后恢复坐姿,0,006_02-orange-longhair_02-pull-left-ear_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear.v1,pending_model_validation,dbdc93fe3f0e922d0d53d3b6c78e213e176b5230876cf046e5da697fd2320d7b,241a5d66949edcf078e592e2d02939921c2ff68968a95640d4e5a7e2c4fe75c1
007,2,../data_h3/cat_ids/02_长毛橘猫.png,Ref_drag_ear.mp4,prepared/Ref_drag_ear.motion.mp4,prompts/drag_ear.v1.en.txt,02,02-orange-longhair,长毛橘猫,02,02-pull-left-ear,drag_ear,左前爪轻擦左耳与脸部后恢复坐姿,10000,007_02-orange-longhair_02-pull-left-ear_seed-10000,4,4.0,24,480,832,15:26,9:16,drag_ear.v1,pending_model_validation,dbdc93fe3f0e922d0d53d3b6c78e213e176b5230876cf046e5da697fd2320d7b,241a5d66949edcf078e592e2d02939921c2ff68968a95640d4e5a7e2c4fe75c1
008,2,../data_h3/cat_ids/02_长毛橘猫.png,Ref_drag_ear.mp4,prepared/Ref_drag_ear.motion.mp4,prompts/drag_ear.v1.en.txt,02,02-orange-longhair,长毛橘猫,02,02-pull-left-ear,drag_ear,左前爪轻擦左耳与脸部后恢复坐姿,20000,008_02-orange-longhair_02-pull-left-ear_seed-20000,4,4.0,24,480,832,15:26,9:16,drag_ear.v1,pending_model_validation,dbdc93fe3f0e922d0d53d3b6c78e213e176b5230876cf046e5da697fd2320d7b,241a5d66949edcf078e592e2d02939921c2ff68968a95640d4e5a7e2c4fe75c1
009,3,../data_h3/cat_ids/03_短毛奶油虎斑猫.png,Ref_drag_ear.mp4,prepared/Ref_drag_ear.motion.mp4,prompts/drag_ear.v1.en.txt,03,03-cream-shorthair-tabby,短毛奶油虎斑猫,02,02-pull-left-ear,drag_ear,左前爪轻擦左耳与脸部后恢复坐姿,0,009_03-cream-shorthair-tabby_02-pull-left-ear_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear.v1,pending_model_validation,dbdc93fe3f0e922d0d53d3b6c78e213e176b5230876cf046e5da697fd2320d7b,241a5d66949edcf078e592e2d02939921c2ff68968a95640d4e5a7e2c4fe75c1
