id,source_id,input_image,source_reference_video,reference_video,prompt_file,cat_idx,cat_id,cat_name_zh,motion_idx,motion_id,motion_slug,motion_name_zh,seed,output_name,duration_seconds,reference_duration_seconds,fps,width,height,source_aspect_ratio,aspect_ratio,prompt_version,prompt_status,prompt_sha256,source_reference_sha256
003,3,../../data_h3/cat_ids/00_短毛橘猫鱼骨纹.png,../Ref_cat_teaser1_mirror.mp4,../prepared/Ref_cat_teaser1_mirror.motion.mp4,../prompts/cat_teaser1_mirror.v1.en.txt,00,00-orange-shorthair-mackerel-tabby,短毛橘猫鱼骨纹,05,05-cat-teaser1-mirror,cat_teaser1_mirror,右前爪坐姿拨打逗猫棒后注视玩具,0,003_00-orange-shorthair-mackerel-tabby_05-cat-teaser1-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser1_mirror.v1,pending_model_validation,5c7abea398cc5cec6ee97bd79e91c601838c2218c8101bd13041c5753a5e72ec,af450da4b11a442fbb8dc3b090842b494306a33800841e4f3ac9399fb1a3e695
015,15,../../data_h3/cat_ids/01_短毛橘猫经典虎斑.png,../Ref_cat_teaser1_mirror.mp4,../prepared/Ref_cat_teaser1_mirror.motion.mp4,../prompts/cat_teaser1_mirror.v1.en.txt,01,01-orange-shorthair-classic-tabby,短毛橘猫经典虎斑,05,05-cat-teaser1-mirror,cat_teaser1_mirror,右前爪坐姿拨打逗猫棒后注视玩具,0,015_01-orange-shorthair-classic-tabby_05-cat-teaser1-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser1_mirror.v1,pending_model_validation,5c7abea398cc5cec6ee97bd79e91c601838c2218c8101bd13041c5753a5e72ec,af450da4b11a442fbb8dc3b090842b494306a33800841e4f3ac9399fb1a3e695
027,27,../../data_h3/cat_ids/02_长毛橘猫.png,../Ref_cat_teaser1_mirror.mp4,../prepared/Ref_cat_teaser1_mirror.motion.mp4,../prompts/cat_teaser1_mirror.v1.en.txt,02,02-orange-longhair,长毛橘猫,05,05-cat-teaser1-mirror,cat_teaser1_mirror,右前爪坐姿拨打逗猫棒后注视玩具,0,027_02-orange-longhair_05-cat-teaser1-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser1_mirror.v1,pending_model_validation,5c7abea398cc5cec6ee97bd79e91c601838c2218c8101bd13041c5753a5e72ec,af450da4b11a442fbb8dc3b090842b494306a33800841e4f3ac9399fb1a3e695
039,39,../../data_h3/cat_ids/03_短毛奶油虎斑猫.png,../Ref_cat_teaser1_mirror.mp4,../prepared/Ref_cat_teaser1_mirror.motion.mp4,../prompts/cat_teaser1_mirror.v1.en.txt,03,03-cream-shorthair-tabby,短毛奶油虎斑猫,05,05-cat-teaser1-mirror,cat_teaser1_mirror,右前爪坐姿拨打逗猫棒后注视玩具,0,039_03-cream-shorthair-tabby_05-cat-teaser1-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser1_mirror.v1,pending_model_validation,5c7abea398cc5cec6ee97bd79e91c601838c2218c8101bd13041c5753a5e72ec,af450da4b11a442fbb8dc3b090842b494306a33800841e4f3ac9399fb1a3e695
051,51,../../data_h3/cat_ids/04_长毛奶油加白猫.png,../Ref_cat_teaser1_mirror.mp4,../prepared/Ref_cat_teaser1_mirror.motion.mp4,../prompts/cat_teaser1_mirror.v1.en.txt,04,04-cream-white-longhair,长毛奶油加白猫,05,05-cat-teaser1-mirror,cat_teaser1_mirror,右前爪坐姿拨打逗猫棒后注视玩具,0,051_04-cream-white-longhair_05-cat-teaser1-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser1_mirror.v1,pending_model_validation,5c7abea398cc5cec6ee97bd79e91c601838c2218c8101bd13041c5753a5e72ec,af450da4b11a442fbb8dc3b090842b494306a33800841e4f3ac9399fb1a3e695
063,63,../../data_h3/cat_ids/05_短毛橘白梵花猫.png,../Ref_cat_teaser1_mirror.mp4,../prepared/Ref_cat_teaser1_mirror.motion.mp4,../prompts/cat_teaser1_mirror.v1.en.txt,05,05-orange-white-van-shorthair,短毛橘白梵花猫,05,05-cat-teaser1-mirror,cat_teaser1_mirror,右前爪坐姿拨打逗猫棒后注视玩具,0,063_05-orange-white-van-shorthair_05-cat-teaser1-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser1_mirror.v1,pending_model_validation,5c7abea398cc5cec6ee97bd79e91c601838c2218c8101bd13041c5753a5e72ec,af450da4b11a442fbb8dc3b090842b494306a33800841e4f3ac9399fb1a3e695
075,75,../../data_h3/cat_ids/06_短毛黑猫.png,../Ref_cat_teaser1_mirror.mp4,../prepared/Ref_cat_teaser1_mirror.motion.mp4,../prompts/cat_teaser1_mirror.v1.en.txt,06,06-black-shorthair,短毛黑猫,05,05-cat-teaser1-mirror,cat_teaser1_mirror,右前爪坐姿拨打逗猫棒后注视玩具,0,075_06-black-shorthair_05-cat-teaser1-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser1_mirror.v1,pending_model_validation,5c7abea398cc5cec6ee97bd79e91c601838c2218c8101bd13041c5753a5e72ec,af450da4b11a442fbb8dc3b090842b494306a33800841e4f3ac9399fb1a3e695
087,87,../../data_h3/cat_ids/07_长毛异瞳白猫.png,../Ref_cat_teaser1_mirror.mp4,../prepared/Ref_cat_teaser1_mirror.motion.mp4,../prompts/cat_teaser1_mirror.v1.en.txt,07,07-odd-eyed-white-longhair,长毛异瞳白猫,05,05-cat-teaser1-mirror,cat_teaser1_mirror,右前爪坐姿拨打逗猫棒后注视玩具,0,087_07-odd-eyed-white-longhair_05-cat-teaser1-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser1_mirror.v1,pending_model_validation,5c7abea398cc5cec6ee97bd79e91c601838c2218c8101bd13041c5753a5e72ec,af450da4b11a442fbb8dc3b090842b494306a33800841e4f3ac9399fb1a3e695
099,99,../../data_h3/cat_ids/08_短毛棕色鱼骨纹猫.png,../Ref_cat_teaser1_mirror.mp4,../prepared/Ref_cat_teaser1_mirror.motion.mp4,../prompts/cat_teaser1_mirror.v1.en.txt,08,08-brown-shorthair-mackerel-tabby,短毛棕色鱼骨纹猫,05,05-cat-teaser1-mirror,cat_teaser1_mirror,右前爪坐姿拨打逗猫棒后注视玩具,0,099_08-brown-shorthair-mackerel-tabby_05-cat-teaser1-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser1_mirror.v1,pending_model_validation,5c7abea398cc5cec6ee97bd79e91c601838c2218c8101bd13041c5753a5e72ec,af450da4b11a442fbb8dc3b090842b494306a33800841e4f3ac9399fb1a3e695
111,111,../../data_h3/cat_ids/09_短毛棕色经典虎斑猫.png,../Ref_cat_teaser1_mirror.mp4,../prepared/Ref_cat_teaser1_mirror.motion.mp4,../prompts/cat_teaser1_mirror.v1.en.txt,09,09-brown-shorthair-classic-tabby,短毛棕色经典虎斑猫,05,05-cat-teaser1-mirror,cat_teaser1_mirror,右前爪坐姿拨打逗猫棒后注视玩具,0,111_09-brown-shorthair-classic-tabby_05-cat-teaser1-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser1_mirror.v1,pending_model_validation,5c7abea398cc5cec6ee97bd79e91c601838c2218c8101bd13041c5753a5e72ec,af450da4b11a442fbb8dc3b090842b494306a33800841e4f3ac9399fb1a3e695
