id,source_id,input_image,source_reference_video,reference_video,prompt_file,cat_idx,cat_id,cat_name_zh,motion_idx,motion_id,motion_slug,motion_name_zh,seed,output_name,duration_seconds,reference_duration_seconds,fps,width,height,source_aspect_ratio,aspect_ratio,prompt_version,prompt_status,prompt_sha256,source_reference_sha256
004,4,../../data_h3/cat_ids/00_短毛橘猫鱼骨纹.png,../Ref_cat_teaser2.mp4,../prepared/Ref_cat_teaser2.motion.mp4,../prompts/cat_teaser2.v1.en.txt,00,00-orange-shorthair-mackerel-tabby,短毛橘猫鱼骨纹,06,06-cat-teaser2,cat_teaser2,起身向画面右侧追拍逗猫棒并站定,0,004_00-orange-shorthair-mackerel-tabby_06-cat-teaser2_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser2.v1,pending_model_validation,d24950c871f5181f868624b0d0235308584d0cda7f2fe02eb6c362bca9be17e4,a8c95e9c38443d4d231086357cb356e7c98cb2af1a6bfa216feae39e945cc0ec
016,16,../../data_h3/cat_ids/01_短毛橘猫经典虎斑.png,../Ref_cat_teaser2.mp4,../prepared/Ref_cat_teaser2.motion.mp4,../prompts/cat_teaser2.v1.en.txt,01,01-orange-shorthair-classic-tabby,短毛橘猫经典虎斑,06,06-cat-teaser2,cat_teaser2,起身向画面右侧追拍逗猫棒并站定,0,016_01-orange-shorthair-classic-tabby_06-cat-teaser2_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser2.v1,pending_model_validation,d24950c871f5181f868624b0d0235308584d0cda7f2fe02eb6c362bca9be17e4,a8c95e9c38443d4d231086357cb356e7c98cb2af1a6bfa216feae39e945cc0ec
028,28,../../data_h3/cat_ids/02_长毛橘猫.png,../Ref_cat_teaser2.mp4,../prepared/Ref_cat_teaser2.motion.mp4,../prompts/cat_teaser2.v1.en.txt,02,02-orange-longhair,长毛橘猫,06,06-cat-teaser2,cat_teaser2,起身向画面右侧追拍逗猫棒并站定,0,028_02-orange-longhair_06-cat-teaser2_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser2.v1,pending_model_validation,d24950c871f5181f868624b0d0235308584d0cda7f2fe02eb6c362bca9be17e4,a8c95e9c38443d4d231086357cb356e7c98cb2af1a6bfa216feae39e945cc0ec
040,40,../../data_h3/cat_ids/03_短毛奶油虎斑猫.png,../Ref_cat_teaser2.mp4,../prepared/Ref_cat_teaser2.motion.mp4,../prompts/cat_teaser2.v1.en.txt,03,03-cream-shorthair-tabby,短毛奶油虎斑猫,06,06-cat-teaser2,cat_teaser2,起身向画面右侧追拍逗猫棒并站定,0,040_03-cream-shorthair-tabby_06-cat-teaser2_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser2.v1,pending_model_validation,d24950c871f5181f868624b0d0235308584d0cda7f2fe02eb6c362bca9be17e4,a8c95e9c38443d4d231086357cb356e7c98cb2af1a6bfa216feae39e945cc0ec
052,52,../../data_h3/cat_ids/04_长毛奶油加白猫.png,../Ref_cat_teaser2.mp4,../prepared/Ref_cat_teaser2.motion.mp4,../prompts/cat_teaser2.v1.en.txt,04,04-cream-white-longhair,长毛奶油加白猫,06,06-cat-teaser2,cat_teaser2,起身向画面右侧追拍逗猫棒并站定,0,052_04-cream-white-longhair_06-cat-teaser2_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser2.v1,pending_model_validation,d24950c871f5181f868624b0d0235308584d0cda7f2fe02eb6c362bca9be17e4,a8c95e9c38443d4d231086357cb356e7c98cb2af1a6bfa216feae39e945cc0ec
064,64,../../data_h3/cat_ids/05_短毛橘白梵花猫.png,../Ref_cat_teaser2.mp4,../prepared/Ref_cat_teaser2.motion.mp4,../prompts/cat_teaser2.v1.en.txt,05,05-orange-white-van-shorthair,短毛橘白梵花猫,06,06-cat-teaser2,cat_teaser2,起身向画面右侧追拍逗猫棒并站定,0,064_05-orange-white-van-shorthair_06-cat-teaser2_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser2.v1,pending_model_validation,d24950c871f5181f868624b0d0235308584d0cda7f2fe02eb6c362bca9be17e4,a8c95e9c38443d4d231086357cb356e7c98cb2af1a6bfa216feae39e945cc0ec
076,76,../../data_h3/cat_ids/06_短毛黑猫.png,../Ref_cat_teaser2.mp4,../prepared/Ref_cat_teaser2.motion.mp4,../prompts/cat_teaser2.v1.en.txt,06,06-black-shorthair,短毛黑猫,06,06-cat-teaser2,cat_teaser2,起身向画面右侧追拍逗猫棒并站定,0,076_06-black-shorthair_06-cat-teaser2_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser2.v1,pending_model_validation,d24950c871f5181f868624b0d0235308584d0cda7f2fe02eb6c362bca9be17e4,a8c95e9c38443d4d231086357cb356e7c98cb2af1a6bfa216feae39e945cc0ec
088,88,../../data_h3/cat_ids/07_长毛异瞳白猫.png,../Ref_cat_teaser2.mp4,../prepared/Ref_cat_teaser2.motion.mp4,../prompts/cat_teaser2.v1.en.txt,07,07-odd-eyed-white-longhair,长毛异瞳白猫,06,06-cat-teaser2,cat_teaser2,起身向画面右侧追拍逗猫棒并站定,0,088_07-odd-eyed-white-longhair_06-cat-teaser2_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser2.v1,pending_model_validation,d24950c871f5181f868624b0d0235308584d0cda7f2fe02eb6c362bca9be17e4,a8c95e9c38443d4d231086357cb356e7c98cb2af1a6bfa216feae39e945cc0ec
100,100,../../data_h3/cat_ids/08_短毛棕色鱼骨纹猫.png,../Ref_cat_teaser2.mp4,../prepared/Ref_cat_teaser2.motion.mp4,../prompts/cat_teaser2.v1.en.txt,08,08-brown-shorthair-mackerel-tabby,短毛棕色鱼骨纹猫,06,06-cat-teaser2,cat_teaser2,起身向画面右侧追拍逗猫棒并站定,0,100_08-brown-shorthair-mackerel-tabby_06-cat-teaser2_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser2.v1,pending_model_validation,d24950c871f5181f868624b0d0235308584d0cda7f2fe02eb6c362bca9be17e4,a8c95e9c38443d4d231086357cb356e7c98cb2af1a6bfa216feae39e945cc0ec
112,112,../../data_h3/cat_ids/09_短毛棕色经典虎斑猫.png,../Ref_cat_teaser2.mp4,../prepared/Ref_cat_teaser2.motion.mp4,../prompts/cat_teaser2.v1.en.txt,09,09-brown-shorthair-classic-tabby,短毛棕色经典虎斑猫,06,06-cat-teaser2,cat_teaser2,起身向画面右侧追拍逗猫棒并站定,0,112_09-brown-shorthair-classic-tabby_06-cat-teaser2_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser2.v1,pending_model_validation,d24950c871f5181f868624b0d0235308584d0cda7f2fe02eb6c362bca9be17e4,a8c95e9c38443d4d231086357cb356e7c98cb2af1a6bfa216feae39e945cc0ec
