id,source_id,input_image,source_reference_video,reference_video,prompt_file,cat_idx,cat_id,cat_name_zh,motion_idx,motion_id,motion_slug,motion_name_zh,seed,output_name,duration_seconds,reference_duration_seconds,fps,width,height,source_aspect_ratio,aspect_ratio,prompt_version,prompt_status,prompt_sha256,source_reference_sha256
009,9,../../data_h3/cat_ids/00_短毛橘猫鱼骨纹.png,../Ref_curl_up_and_lie_down.mp4,../prepared/Ref_curl_up_and_lie_down.motion.mp4,../prompts/curl_up_and_lie_down.v1.en.txt,00,00-orange-shorthair-mackerel-tabby,短毛橘猫鱼骨纹,11,11-curl-up-and-lie-down,curl_up_and_lie_down,低头向画面左侧蜷卧并闭眼休息,0,009_00-orange-shorthair-mackerel-tabby_11-curl-up-and-lie-down_seed-0,4,4.0,24,480,832,15:26,9:16,curl_up_and_lie_down.v1,pending_model_validation,9217effb2f85c4322c192edb9cc4c687268e1285527679229ed2d92161f10f6b,8414a980252d2baee6444085d2755563b7e0ccb3a138027e7cc6c1233be766eb
021,21,../../data_h3/cat_ids/01_短毛橘猫经典虎斑.png,../Ref_curl_up_and_lie_down.mp4,../prepared/Ref_curl_up_and_lie_down.motion.mp4,../prompts/curl_up_and_lie_down.v1.en.txt,01,01-orange-shorthair-classic-tabby,短毛橘猫经典虎斑,11,11-curl-up-and-lie-down,curl_up_and_lie_down,低头向画面左侧蜷卧并闭眼休息,0,021_01-orange-shorthair-classic-tabby_11-curl-up-and-lie-down_seed-0,4,4.0,24,480,832,15:26,9:16,curl_up_and_lie_down.v1,pending_model_validation,9217effb2f85c4322c192edb9cc4c687268e1285527679229ed2d92161f10f6b,8414a980252d2baee6444085d2755563b7e0ccb3a138027e7cc6c1233be766eb
033,33,../../data_h3/cat_ids/02_长毛橘猫.png,../Ref_curl_up_and_lie_down.mp4,../prepared/Ref_curl_up_and_lie_down.motion.mp4,../prompts/curl_up_and_lie_down.v1.en.txt,02,02-orange-longhair,长毛橘猫,11,11-curl-up-and-lie-down,curl_up_and_lie_down,低头向画面左侧蜷卧并闭眼休息,0,033_02-orange-longhair_11-curl-up-and-lie-down_seed-0,4,4.0,24,480,832,15:26,9:16,curl_up_and_lie_down.v1,pending_model_validation,9217effb2f85c4322c192edb9cc4c687268e1285527679229ed2d92161f10f6b,8414a980252d2baee6444085d2755563b7e0ccb3a138027e7cc6c1233be766eb
045,45,../../data_h3/cat_ids/03_短毛奶油虎斑猫.png,../Ref_curl_up_and_lie_down.mp4,../prepared/Ref_curl_up_and_lie_down.motion.mp4,../prompts/curl_up_and_lie_down.v1.en.txt,03,03-cream-shorthair-tabby,短毛奶油虎斑猫,11,11-curl-up-and-lie-down,curl_up_and_lie_down,低头向画面左侧蜷卧并闭眼休息,0,045_03-cream-shorthair-tabby_11-curl-up-and-lie-down_seed-0,4,4.0,24,480,832,15:26,9:16,curl_up_and_lie_down.v1,pending_model_validation,9217effb2f85c4322c192edb9cc4c687268e1285527679229ed2d92161f10f6b,8414a980252d2baee6444085d2755563b7e0ccb3a138027e7cc6c1233be766eb
057,57,../../data_h3/cat_ids/04_长毛奶油加白猫.png,../Ref_curl_up_and_lie_down.mp4,../prepared/Ref_curl_up_and_lie_down.motion.mp4,../prompts/curl_up_and_lie_down.v1.en.txt,04,04-cream-white-longhair,长毛奶油加白猫,11,11-curl-up-and-lie-down,curl_up_and_lie_down,低头向画面左侧蜷卧并闭眼休息,0,057_04-cream-white-longhair_11-curl-up-and-lie-down_seed-0,4,4.0,24,480,832,15:26,9:16,curl_up_and_lie_down.v1,pending_model_validation,9217effb2f85c4322c192edb9cc4c687268e1285527679229ed2d92161f10f6b,8414a980252d2baee6444085d2755563b7e0ccb3a138027e7cc6c1233be766eb
069,69,../../data_h3/cat_ids/05_短毛橘白梵花猫.png,../Ref_curl_up_and_lie_down.mp4,../prepared/Ref_curl_up_and_lie_down.motion.mp4,../prompts/curl_up_and_lie_down.v1.en.txt,05,05-orange-white-van-shorthair,短毛橘白梵花猫,11,11-curl-up-and-lie-down,curl_up_and_lie_down,低头向画面左侧蜷卧并闭眼休息,0,069_05-orange-white-van-shorthair_11-curl-up-and-lie-down_seed-0,4,4.0,24,480,832,15:26,9:16,curl_up_and_lie_down.v1,pending_model_validation,9217effb2f85c4322c192edb9cc4c687268e1285527679229ed2d92161f10f6b,8414a980252d2baee6444085d2755563b7e0ccb3a138027e7cc6c1233be766eb
081,81,../../data_h3/cat_ids/06_短毛黑猫.png,../Ref_curl_up_and_lie_down.mp4,../prepared/Ref_curl_up_and_lie_down.motion.mp4,../prompts/curl_up_and_lie_down.v1.en.txt,06,06-black-shorthair,短毛黑猫,11,11-curl-up-and-lie-down,curl_up_and_lie_down,低头向画面左侧蜷卧并闭眼休息,0,081_06-black-shorthair_11-curl-up-and-lie-down_seed-0,4,4.0,24,480,832,15:26,9:16,curl_up_and_lie_down.v1,pending_model_validation,9217effb2f85c4322c192edb9cc4c687268e1285527679229ed2d92161f10f6b,8414a980252d2baee6444085d2755563b7e0ccb3a138027e7cc6c1233be766eb
093,93,../../data_h3/cat_ids/07_长毛异瞳白猫.png,../Ref_curl_up_and_lie_down.mp4,../prepared/Ref_curl_up_and_lie_down.motion.mp4,../prompts/curl_up_and_lie_down.v1.en.txt,07,07-odd-eyed-white-longhair,长毛异瞳白猫,11,11-curl-up-and-lie-down,curl_up_and_lie_down,低头向画面左侧蜷卧并闭眼休息,0,093_07-odd-eyed-white-longhair_11-curl-up-and-lie-down_seed-0,4,4.0,24,480,832,15:26,9:16,curl_up_and_lie_down.v1,pending_model_validation,9217effb2f85c4322c192edb9cc4c687268e1285527679229ed2d92161f10f6b,8414a980252d2baee6444085d2755563b7e0ccb3a138027e7cc6c1233be766eb
105,105,../../data_h3/cat_ids/08_短毛棕色鱼骨纹猫.png,../Ref_curl_up_and_lie_down.mp4,../prepared/Ref_curl_up_and_lie_down.motion.mp4,../prompts/curl_up_and_lie_down.v1.en.txt,08,08-brown-shorthair-mackerel-tabby,短毛棕色鱼骨纹猫,11,11-curl-up-and-lie-down,curl_up_and_lie_down,低头向画面左侧蜷卧并闭眼休息,0,105_08-brown-shorthair-mackerel-tabby_11-curl-up-and-lie-down_seed-0,4,4.0,24,480,832,15:26,9:16,curl_up_and_lie_down.v1,pending_model_validation,9217effb2f85c4322c192edb9cc4c687268e1285527679229ed2d92161f10f6b,8414a980252d2baee6444085d2755563b7e0ccb3a138027e7cc6c1233be766eb
117,117,../../data_h3/cat_ids/09_短毛棕色经典虎斑猫.png,../Ref_curl_up_and_lie_down.mp4,../prepared/Ref_curl_up_and_lie_down.motion.mp4,../prompts/curl_up_and_lie_down.v1.en.txt,09,09-brown-shorthair-classic-tabby,短毛棕色经典虎斑猫,11,11-curl-up-and-lie-down,curl_up_and_lie_down,低头向画面左侧蜷卧并闭眼休息,0,117_09-brown-shorthair-classic-tabby_11-curl-up-and-lie-down_seed-0,4,4.0,24,480,832,15:26,9:16,curl_up_and_lie_down.v1,pending_model_validation,9217effb2f85c4322c192edb9cc4c687268e1285527679229ed2d92161f10f6b,8414a980252d2baee6444085d2755563b7e0ccb3a138027e7cc6c1233be766eb
