id,source_id,input_image,source_reference_video,reference_video,prompt_file,cat_idx,cat_id,cat_name_zh,motion_idx,motion_id,motion_slug,motion_name_zh,seed,output_name,duration_seconds,reference_duration_seconds,fps,width,height,source_aspect_ratio,aspect_ratio,prompt_version,prompt_status,prompt_sha256,source_reference_sha256
000,0,../../data_h3/cat_ids/00_短毛橘猫鱼骨纹.png,../Ref_drag_ear.mp4,../prepared/Ref_drag_ear.motion.mp4,../prompts/drag_ear.v1.en.txt,00,00-orange-shorthair-mackerel-tabby,短毛橘猫鱼骨纹,02,02-pull-left-ear,drag_ear,左前爪轻擦左耳与脸部后恢复坐姿,0,000_00-orange-shorthair-mackerel-tabby_02-pull-left-ear_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear.v1,pending_model_validation,dbdc93fe3f0e922d0d53d3b6c78e213e176b5230876cf046e5da697fd2320d7b,241a5d66949edcf078e592e2d02939921c2ff68968a95640d4e5a7e2c4fe75c1
012,12,../../data_h3/cat_ids/01_短毛橘猫经典虎斑.png,../Ref_drag_ear.mp4,../prepared/Ref_drag_ear.motion.mp4,../prompts/drag_ear.v1.en.txt,01,01-orange-shorthair-classic-tabby,短毛橘猫经典虎斑,02,02-pull-left-ear,drag_ear,左前爪轻擦左耳与脸部后恢复坐姿,0,012_01-orange-shorthair-classic-tabby_02-pull-left-ear_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear.v1,pending_model_validation,dbdc93fe3f0e922d0d53d3b6c78e213e176b5230876cf046e5da697fd2320d7b,241a5d66949edcf078e592e2d02939921c2ff68968a95640d4e5a7e2c4fe75c1
024,24,../../data_h3/cat_ids/02_长毛橘猫.png,../Ref_drag_ear.mp4,../prepared/Ref_drag_ear.motion.mp4,../prompts/drag_ear.v1.en.txt,02,02-orange-longhair,长毛橘猫,02,02-pull-left-ear,drag_ear,左前爪轻擦左耳与脸部后恢复坐姿,0,024_02-orange-longhair_02-pull-left-ear_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear.v1,pending_model_validation,dbdc93fe3f0e922d0d53d3b6c78e213e176b5230876cf046e5da697fd2320d7b,241a5d66949edcf078e592e2d02939921c2ff68968a95640d4e5a7e2c4fe75c1
036,36,../../data_h3/cat_ids/03_短毛奶油虎斑猫.png,../Ref_drag_ear.mp4,../prepared/Ref_drag_ear.motion.mp4,../prompts/drag_ear.v1.en.txt,03,03-cream-shorthair-tabby,短毛奶油虎斑猫,02,02-pull-left-ear,drag_ear,左前爪轻擦左耳与脸部后恢复坐姿,0,036_03-cream-shorthair-tabby_02-pull-left-ear_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear.v1,pending_model_validation,dbdc93fe3f0e922d0d53d3b6c78e213e176b5230876cf046e5da697fd2320d7b,241a5d66949edcf078e592e2d02939921c2ff68968a95640d4e5a7e2c4fe75c1
048,48,../../data_h3/cat_ids/04_长毛奶油加白猫.png,../Ref_drag_ear.mp4,../prepared/Ref_drag_ear.motion.mp4,../prompts/drag_ear.v1.en.txt,04,04-cream-white-longhair,长毛奶油加白猫,02,02-pull-left-ear,drag_ear,左前爪轻擦左耳与脸部后恢复坐姿,0,048_04-cream-white-longhair_02-pull-left-ear_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear.v1,pending_model_validation,dbdc93fe3f0e922d0d53d3b6c78e213e176b5230876cf046e5da697fd2320d7b,241a5d66949edcf078e592e2d02939921c2ff68968a95640d4e5a7e2c4fe75c1
060,60,../../data_h3/cat_ids/05_短毛橘白梵花猫.png,../Ref_drag_ear.mp4,../prepared/Ref_drag_ear.motion.mp4,../prompts/drag_ear.v1.en.txt,05,05-orange-white-van-shorthair,短毛橘白梵花猫,02,02-pull-left-ear,drag_ear,左前爪轻擦左耳与脸部后恢复坐姿,0,060_05-orange-white-van-shorthair_02-pull-left-ear_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear.v1,pending_model_validation,dbdc93fe3f0e922d0d53d3b6c78e213e176b5230876cf046e5da697fd2320d7b,241a5d66949edcf078e592e2d02939921c2ff68968a95640d4e5a7e2c4fe75c1
072,72,../../data_h3/cat_ids/06_短毛黑猫.png,../Ref_drag_ear.mp4,../prepared/Ref_drag_ear.motion.mp4,../prompts/drag_ear.v1.en.txt,06,06-black-shorthair,短毛黑猫,02,02-pull-left-ear,drag_ear,左前爪轻擦左耳与脸部后恢复坐姿,0,072_06-black-shorthair_02-pull-left-ear_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear.v1,pending_model_validation,dbdc93fe3f0e922d0d53d3b6c78e213e176b5230876cf046e5da697fd2320d7b,241a5d66949edcf078e592e2d02939921c2ff68968a95640d4e5a7e2c4fe75c1
084,84,../../data_h3/cat_ids/07_长毛异瞳白猫.png,../Ref_drag_ear.mp4,../prepared/Ref_drag_ear.motion.mp4,../prompts/drag_ear.v1.en.txt,07,07-odd-eyed-white-longhair,长毛异瞳白猫,02,02-pull-left-ear,drag_ear,左前爪轻擦左耳与脸部后恢复坐姿,0,084_07-odd-eyed-white-longhair_02-pull-left-ear_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear.v1,pending_model_validation,dbdc93fe3f0e922d0d53d3b6c78e213e176b5230876cf046e5da697fd2320d7b,241a5d66949edcf078e592e2d02939921c2ff68968a95640d4e5a7e2c4fe75c1
096,96,../../data_h3/cat_ids/08_短毛棕色鱼骨纹猫.png,../Ref_drag_ear.mp4,../prepared/Ref_drag_ear.motion.mp4,../prompts/drag_ear.v1.en.txt,08,08-brown-shorthair-mackerel-tabby,短毛棕色鱼骨纹猫,02,02-pull-left-ear,drag_ear,左前爪轻擦左耳与脸部后恢复坐姿,0,096_08-brown-shorthair-mackerel-tabby_02-pull-left-ear_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear.v1,pending_model_validation,dbdc93fe3f0e922d0d53d3b6c78e213e176b5230876cf046e5da697fd2320d7b,241a5d66949edcf078e592e2d02939921c2ff68968a95640d4e5a7e2c4fe75c1
108,108,../../data_h3/cat_ids/09_短毛棕色经典虎斑猫.png,../Ref_drag_ear.mp4,../prepared/Ref_drag_ear.motion.mp4,../prompts/drag_ear.v1.en.txt,09,09-brown-shorthair-classic-tabby,短毛棕色经典虎斑猫,02,02-pull-left-ear,drag_ear,左前爪轻擦左耳与脸部后恢复坐姿,0,108_09-brown-shorthair-classic-tabby_02-pull-left-ear_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear.v1,pending_model_validation,dbdc93fe3f0e922d0d53d3b6c78e213e176b5230876cf046e5da697fd2320d7b,241a5d66949edcf078e592e2d02939921c2ff68968a95640d4e5a7e2c4fe75c1
