id,source_id,input_image,source_reference_video,reference_video,prompt_file,cat_idx,cat_id,cat_name_zh,motion_idx,motion_id,motion_slug,motion_name_zh,seed,output_name,duration_seconds,reference_duration_seconds,fps,width,height,source_aspect_ratio,aspect_ratio,prompt_version,prompt_status,prompt_sha256,source_reference_sha256
001,1,../../data_h3/cat_ids/00_短毛橘猫鱼骨纹.png,../Ref_drag_ear_mirror.mp4,../prepared/Ref_drag_ear_mirror.motion.mp4,../prompts/drag_ear_mirror.v1.en.txt,00,00-orange-shorthair-mackerel-tabby,短毛橘猫鱼骨纹,03,03-drag-ear-mirror,drag_ear_mirror,右前爪轻擦右耳与脸部后恢复坐姿,0,001_00-orange-shorthair-mackerel-tabby_03-drag-ear-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear_mirror.v1,pending_model_validation,68fc5e929e94c082c0da4f6ccda4e0b2f4f8e49e4da6baacf37e6a84c69f2fb3,f5a0412ed913f5aad8bffb33c68c3b0ad7f4923f44f06370f768483b146897f4
013,13,../../data_h3/cat_ids/01_短毛橘猫经典虎斑.png,../Ref_drag_ear_mirror.mp4,../prepared/Ref_drag_ear_mirror.motion.mp4,../prompts/drag_ear_mirror.v1.en.txt,01,01-orange-shorthair-classic-tabby,短毛橘猫经典虎斑,03,03-drag-ear-mirror,drag_ear_mirror,右前爪轻擦右耳与脸部后恢复坐姿,0,013_01-orange-shorthair-classic-tabby_03-drag-ear-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear_mirror.v1,pending_model_validation,68fc5e929e94c082c0da4f6ccda4e0b2f4f8e49e4da6baacf37e6a84c69f2fb3,f5a0412ed913f5aad8bffb33c68c3b0ad7f4923f44f06370f768483b146897f4
025,25,../../data_h3/cat_ids/02_长毛橘猫.png,../Ref_drag_ear_mirror.mp4,../prepared/Ref_drag_ear_mirror.motion.mp4,../prompts/drag_ear_mirror.v1.en.txt,02,02-orange-longhair,长毛橘猫,03,03-drag-ear-mirror,drag_ear_mirror,右前爪轻擦右耳与脸部后恢复坐姿,0,025_02-orange-longhair_03-drag-ear-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear_mirror.v1,pending_model_validation,68fc5e929e94c082c0da4f6ccda4e0b2f4f8e49e4da6baacf37e6a84c69f2fb3,f5a0412ed913f5aad8bffb33c68c3b0ad7f4923f44f06370f768483b146897f4
037,37,../../data_h3/cat_ids/03_短毛奶油虎斑猫.png,../Ref_drag_ear_mirror.mp4,../prepared/Ref_drag_ear_mirror.motion.mp4,../prompts/drag_ear_mirror.v1.en.txt,03,03-cream-shorthair-tabby,短毛奶油虎斑猫,03,03-drag-ear-mirror,drag_ear_mirror,右前爪轻擦右耳与脸部后恢复坐姿,0,037_03-cream-shorthair-tabby_03-drag-ear-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear_mirror.v1,pending_model_validation,68fc5e929e94c082c0da4f6ccda4e0b2f4f8e49e4da6baacf37e6a84c69f2fb3,f5a0412ed913f5aad8bffb33c68c3b0ad7f4923f44f06370f768483b146897f4
049,49,../../data_h3/cat_ids/04_长毛奶油加白猫.png,../Ref_drag_ear_mirror.mp4,../prepared/Ref_drag_ear_mirror.motion.mp4,../prompts/drag_ear_mirror.v1.en.txt,04,04-cream-white-longhair,长毛奶油加白猫,03,03-drag-ear-mirror,drag_ear_mirror,右前爪轻擦右耳与脸部后恢复坐姿,0,049_04-cream-white-longhair_03-drag-ear-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear_mirror.v1,pending_model_validation,68fc5e929e94c082c0da4f6ccda4e0b2f4f8e49e4da6baacf37e6a84c69f2fb3,f5a0412ed913f5aad8bffb33c68c3b0ad7f4923f44f06370f768483b146897f4
061,61,../../data_h3/cat_ids/05_短毛橘白梵花猫.png,../Ref_drag_ear_mirror.mp4,../prepared/Ref_drag_ear_mirror.motion.mp4,../prompts/drag_ear_mirror.v1.en.txt,05,05-orange-white-van-shorthair,短毛橘白梵花猫,03,03-drag-ear-mirror,drag_ear_mirror,右前爪轻擦右耳与脸部后恢复坐姿,0,061_05-orange-white-van-shorthair_03-drag-ear-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear_mirror.v1,pending_model_validation,68fc5e929e94c082c0da4f6ccda4e0b2f4f8e49e4da6baacf37e6a84c69f2fb3,f5a0412ed913f5aad8bffb33c68c3b0ad7f4923f44f06370f768483b146897f4
073,73,../../data_h3/cat_ids/06_短毛黑猫.png,../Ref_drag_ear_mirror.mp4,../prepared/Ref_drag_ear_mirror.motion.mp4,../prompts/drag_ear_mirror.v1.en.txt,06,06-black-shorthair,短毛黑猫,03,03-drag-ear-mirror,drag_ear_mirror,右前爪轻擦右耳与脸部后恢复坐姿,0,073_06-black-shorthair_03-drag-ear-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear_mirror.v1,pending_model_validation,68fc5e929e94c082c0da4f6ccda4e0b2f4f8e49e4da6baacf37e6a84c69f2fb3,f5a0412ed913f5aad8bffb33c68c3b0ad7f4923f44f06370f768483b146897f4
085,85,../../data_h3/cat_ids/07_长毛异瞳白猫.png,../Ref_drag_ear_mirror.mp4,../prepared/Ref_drag_ear_mirror.motion.mp4,../prompts/drag_ear_mirror.v1.en.txt,07,07-odd-eyed-white-longhair,长毛异瞳白猫,03,03-drag-ear-mirror,drag_ear_mirror,右前爪轻擦右耳与脸部后恢复坐姿,0,085_07-odd-eyed-white-longhair_03-drag-ear-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear_mirror.v1,pending_model_validation,68fc5e929e94c082c0da4f6ccda4e0b2f4f8e49e4da6baacf37e6a84c69f2fb3,f5a0412ed913f5aad8bffb33c68c3b0ad7f4923f44f06370f768483b146897f4
097,97,../../data_h3/cat_ids/08_短毛棕色鱼骨纹猫.png,../Ref_drag_ear_mirror.mp4,../prepared/Ref_drag_ear_mirror.motion.mp4,../prompts/drag_ear_mirror.v1.en.txt,08,08-brown-shorthair-mackerel-tabby,短毛棕色鱼骨纹猫,03,03-drag-ear-mirror,drag_ear_mirror,右前爪轻擦右耳与脸部后恢复坐姿,0,097_08-brown-shorthair-mackerel-tabby_03-drag-ear-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear_mirror.v1,pending_model_validation,68fc5e929e94c082c0da4f6ccda4e0b2f4f8e49e4da6baacf37e6a84c69f2fb3,f5a0412ed913f5aad8bffb33c68c3b0ad7f4923f44f06370f768483b146897f4
109,109,../../data_h3/cat_ids/09_短毛棕色经典虎斑猫.png,../Ref_drag_ear_mirror.mp4,../prepared/Ref_drag_ear_mirror.motion.mp4,../prompts/drag_ear_mirror.v1.en.txt,09,09-brown-shorthair-classic-tabby,短毛棕色经典虎斑猫,03,03-drag-ear-mirror,drag_ear_mirror,右前爪轻擦右耳与脸部后恢复坐姿,0,109_09-brown-shorthair-classic-tabby_03-drag-ear-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear_mirror.v1,pending_model_validation,68fc5e929e94c082c0da4f6ccda4e0b2f4f8e49e4da6baacf37e6a84c69f2fb3,f5a0412ed913f5aad8bffb33c68c3b0ad7f4923f44f06370f768483b146897f4
