id,source_id,input_image,source_reference_video,reference_video,prompt_file,cat_idx,cat_id,cat_name_zh,motion_idx,motion_id,motion_slug,motion_name_zh,seed,output_name,duration_seconds,reference_duration_seconds,fps,width,height,source_aspect_ratio,aspect_ratio,prompt_version,prompt_status,prompt_sha256,source_reference_sha256
007,7,../../data_h3/cat_ids/00_短毛橘猫鱼骨纹.png,../Ref_drag_yarn_ball_and_catch.mp4,../prepared/Ref_drag_yarn_ball_and_catch.motion.mp4,../prompts/drag_yarn_ball_and_catch.v1.en.txt,00,00-orange-shorthair-mackerel-tabby,短毛橘猫鱼骨纹,09,09-drag-yarn-ball-and-catch,drag_yarn_ball_and_catch,追扑从画面左向右滚动的毛线球并按住,0,007_00-orange-shorthair-mackerel-tabby_09-drag-yarn-ball-and-catch_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch.v1,pending_model_validation,7ebe1b2a01564d805523f56b909e9a53772ebed08cbeda3c79c1765cceab70f6,5b888bc1cdc661bc3b5760445027966ef8d36a31c447614acbd23d3ca6af442e
019,19,../../data_h3/cat_ids/01_短毛橘猫经典虎斑.png,../Ref_drag_yarn_ball_and_catch.mp4,../prepared/Ref_drag_yarn_ball_and_catch.motion.mp4,../prompts/drag_yarn_ball_and_catch.v1.en.txt,01,01-orange-shorthair-classic-tabby,短毛橘猫经典虎斑,09,09-drag-yarn-ball-and-catch,drag_yarn_ball_and_catch,追扑从画面左向右滚动的毛线球并按住,0,019_01-orange-shorthair-classic-tabby_09-drag-yarn-ball-and-catch_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch.v1,pending_model_validation,7ebe1b2a01564d805523f56b909e9a53772ebed08cbeda3c79c1765cceab70f6,5b888bc1cdc661bc3b5760445027966ef8d36a31c447614acbd23d3ca6af442e
031,31,../../data_h3/cat_ids/02_长毛橘猫.png,../Ref_drag_yarn_ball_and_catch.mp4,../prepared/Ref_drag_yarn_ball_and_catch.motion.mp4,../prompts/drag_yarn_ball_and_catch.v1.en.txt,02,02-orange-longhair,长毛橘猫,09,09-drag-yarn-ball-and-catch,drag_yarn_ball_and_catch,追扑从画面左向右滚动的毛线球并按住,0,031_02-orange-longhair_09-drag-yarn-ball-and-catch_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch.v1,pending_model_validation,7ebe1b2a01564d805523f56b909e9a53772ebed08cbeda3c79c1765cceab70f6,5b888bc1cdc661bc3b5760445027966ef8d36a31c447614acbd23d3ca6af442e
043,43,../../data_h3/cat_ids/03_短毛奶油虎斑猫.png,../Ref_drag_yarn_ball_and_catch.mp4,../prepared/Ref_drag_yarn_ball_and_catch.motion.mp4,../prompts/drag_yarn_ball_and_catch.v1.en.txt,03,03-cream-shorthair-tabby,短毛奶油虎斑猫,09,09-drag-yarn-ball-and-catch,drag_yarn_ball_and_catch,追扑从画面左向右滚动的毛线球并按住,0,043_03-cream-shorthair-tabby_09-drag-yarn-ball-and-catch_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch.v1,pending_model_validation,7ebe1b2a01564d805523f56b909e9a53772ebed08cbeda3c79c1765cceab70f6,5b888bc1cdc661bc3b5760445027966ef8d36a31c447614acbd23d3ca6af442e
055,55,../../data_h3/cat_ids/04_长毛奶油加白猫.png,../Ref_drag_yarn_ball_and_catch.mp4,../prepared/Ref_drag_yarn_ball_and_catch.motion.mp4,../prompts/drag_yarn_ball_and_catch.v1.en.txt,04,04-cream-white-longhair,长毛奶油加白猫,09,09-drag-yarn-ball-and-catch,drag_yarn_ball_and_catch,追扑从画面左向右滚动的毛线球并按住,0,055_04-cream-white-longhair_09-drag-yarn-ball-and-catch_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch.v1,pending_model_validation,7ebe1b2a01564d805523f56b909e9a53772ebed08cbeda3c79c1765cceab70f6,5b888bc1cdc661bc3b5760445027966ef8d36a31c447614acbd23d3ca6af442e
067,67,../../data_h3/cat_ids/05_短毛橘白梵花猫.png,../Ref_drag_yarn_ball_and_catch.mp4,../prepared/Ref_drag_yarn_ball_and_catch.motion.mp4,../prompts/drag_yarn_ball_and_catch.v1.en.txt,05,05-orange-white-van-shorthair,短毛橘白梵花猫,09,09-drag-yarn-ball-and-catch,drag_yarn_ball_and_catch,追扑从画面左向右滚动的毛线球并按住,0,067_05-orange-white-van-shorthair_09-drag-yarn-ball-and-catch_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch.v1,pending_model_validation,7ebe1b2a01564d805523f56b909e9a53772ebed08cbeda3c79c1765cceab70f6,5b888bc1cdc661bc3b5760445027966ef8d36a31c447614acbd23d3ca6af442e
079,79,../../data_h3/cat_ids/06_短毛黑猫.png,../Ref_drag_yarn_ball_and_catch.mp4,../prepared/Ref_drag_yarn_ball_and_catch.motion.mp4,../prompts/drag_yarn_ball_and_catch.v1.en.txt,06,06-black-shorthair,短毛黑猫,09,09-drag-yarn-ball-and-catch,drag_yarn_ball_and_catch,追扑从画面左向右滚动的毛线球并按住,0,079_06-black-shorthair_09-drag-yarn-ball-and-catch_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch.v1,pending_model_validation,7ebe1b2a01564d805523f56b909e9a53772ebed08cbeda3c79c1765cceab70f6,5b888bc1cdc661bc3b5760445027966ef8d36a31c447614acbd23d3ca6af442e
091,91,../../data_h3/cat_ids/07_长毛异瞳白猫.png,../Ref_drag_yarn_ball_and_catch.mp4,../prepared/Ref_drag_yarn_ball_and_catch.motion.mp4,../prompts/drag_yarn_ball_and_catch.v1.en.txt,07,07-odd-eyed-white-longhair,长毛异瞳白猫,09,09-drag-yarn-ball-and-catch,drag_yarn_ball_and_catch,追扑从画面左向右滚动的毛线球并按住,0,091_07-odd-eyed-white-longhair_09-drag-yarn-ball-and-catch_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch.v1,pending_model_validation,7ebe1b2a01564d805523f56b909e9a53772ebed08cbeda3c79c1765cceab70f6,5b888bc1cdc661bc3b5760445027966ef8d36a31c447614acbd23d3ca6af442e
103,103,../../data_h3/cat_ids/08_短毛棕色鱼骨纹猫.png,../Ref_drag_yarn_ball_and_catch.mp4,../prepared/Ref_drag_yarn_ball_and_catch.motion.mp4,../prompts/drag_yarn_ball_and_catch.v1.en.txt,08,08-brown-shorthair-mackerel-tabby,短毛棕色鱼骨纹猫,09,09-drag-yarn-ball-and-catch,drag_yarn_ball_and_catch,追扑从画面左向右滚动的毛线球并按住,0,103_08-brown-shorthair-mackerel-tabby_09-drag-yarn-ball-and-catch_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch.v1,pending_model_validation,7ebe1b2a01564d805523f56b909e9a53772ebed08cbeda3c79c1765cceab70f6,5b888bc1cdc661bc3b5760445027966ef8d36a31c447614acbd23d3ca6af442e
115,115,../../data_h3/cat_ids/09_短毛棕色经典虎斑猫.png,../Ref_drag_yarn_ball_and_catch.mp4,../prepared/Ref_drag_yarn_ball_and_catch.motion.mp4,../prompts/drag_yarn_ball_and_catch.v1.en.txt,09,09-brown-shorthair-classic-tabby,短毛棕色经典虎斑猫,09,09-drag-yarn-ball-and-catch,drag_yarn_ball_and_catch,追扑从画面左向右滚动的毛线球并按住,0,115_09-brown-shorthair-classic-tabby_09-drag-yarn-ball-and-catch_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch.v1,pending_model_validation,7ebe1b2a01564d805523f56b909e9a53772ebed08cbeda3c79c1765cceab70f6,5b888bc1cdc661bc3b5760445027966ef8d36a31c447614acbd23d3ca6af442e
