id,source_id,input_image,source_reference_video,reference_video,prompt_file,cat_idx,cat_id,cat_name_zh,motion_idx,motion_id,motion_slug,motion_name_zh,seed,output_name,duration_seconds,reference_duration_seconds,fps,width,height,source_aspect_ratio,aspect_ratio,prompt_version,prompt_status,prompt_sha256,source_reference_sha256
008,8,../../data_h3/cat_ids/00_短毛橘猫鱼骨纹.png,../Ref_drag_yarn_ball_and_catch_mirror.mp4,../prepared/Ref_drag_yarn_ball_and_catch_mirror.motion.mp4,../prompts/drag_yarn_ball_and_catch_mirror.v1.en.txt,00,00-orange-shorthair-mackerel-tabby,短毛橘猫鱼骨纹,10,10-drag-yarn-ball-and-catch-mirror,drag_yarn_ball_and_catch_mirror,追扑从画面右向左滚动的毛线球并按住,0,008_00-orange-shorthair-mackerel-tabby_10-drag-yarn-ball-and-catch-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch_mirror.v1,pending_model_validation,477225bf4f6fca729b4947c68a49ba53af5fb0428686571bc103a6f680058a2d,8b44957f6ebaca7c04c4a0af6bf4fbb65085b8ecf0acaf3433dc727a25b74982
020,20,../../data_h3/cat_ids/01_短毛橘猫经典虎斑.png,../Ref_drag_yarn_ball_and_catch_mirror.mp4,../prepared/Ref_drag_yarn_ball_and_catch_mirror.motion.mp4,../prompts/drag_yarn_ball_and_catch_mirror.v1.en.txt,01,01-orange-shorthair-classic-tabby,短毛橘猫经典虎斑,10,10-drag-yarn-ball-and-catch-mirror,drag_yarn_ball_and_catch_mirror,追扑从画面右向左滚动的毛线球并按住,0,020_01-orange-shorthair-classic-tabby_10-drag-yarn-ball-and-catch-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch_mirror.v1,pending_model_validation,477225bf4f6fca729b4947c68a49ba53af5fb0428686571bc103a6f680058a2d,8b44957f6ebaca7c04c4a0af6bf4fbb65085b8ecf0acaf3433dc727a25b74982
032,32,../../data_h3/cat_ids/02_长毛橘猫.png,../Ref_drag_yarn_ball_and_catch_mirror.mp4,../prepared/Ref_drag_yarn_ball_and_catch_mirror.motion.mp4,../prompts/drag_yarn_ball_and_catch_mirror.v1.en.txt,02,02-orange-longhair,长毛橘猫,10,10-drag-yarn-ball-and-catch-mirror,drag_yarn_ball_and_catch_mirror,追扑从画面右向左滚动的毛线球并按住,0,032_02-orange-longhair_10-drag-yarn-ball-and-catch-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch_mirror.v1,pending_model_validation,477225bf4f6fca729b4947c68a49ba53af5fb0428686571bc103a6f680058a2d,8b44957f6ebaca7c04c4a0af6bf4fbb65085b8ecf0acaf3433dc727a25b74982
044,44,../../data_h3/cat_ids/03_短毛奶油虎斑猫.png,../Ref_drag_yarn_ball_and_catch_mirror.mp4,../prepared/Ref_drag_yarn_ball_and_catch_mirror.motion.mp4,../prompts/drag_yarn_ball_and_catch_mirror.v1.en.txt,03,03-cream-shorthair-tabby,短毛奶油虎斑猫,10,10-drag-yarn-ball-and-catch-mirror,drag_yarn_ball_and_catch_mirror,追扑从画面右向左滚动的毛线球并按住,0,044_03-cream-shorthair-tabby_10-drag-yarn-ball-and-catch-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch_mirror.v1,pending_model_validation,477225bf4f6fca729b4947c68a49ba53af5fb0428686571bc103a6f680058a2d,8b44957f6ebaca7c04c4a0af6bf4fbb65085b8ecf0acaf3433dc727a25b74982
056,56,../../data_h3/cat_ids/04_长毛奶油加白猫.png,../Ref_drag_yarn_ball_and_catch_mirror.mp4,../prepared/Ref_drag_yarn_ball_and_catch_mirror.motion.mp4,../prompts/drag_yarn_ball_and_catch_mirror.v1.en.txt,04,04-cream-white-longhair,长毛奶油加白猫,10,10-drag-yarn-ball-and-catch-mirror,drag_yarn_ball_and_catch_mirror,追扑从画面右向左滚动的毛线球并按住,0,056_04-cream-white-longhair_10-drag-yarn-ball-and-catch-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch_mirror.v1,pending_model_validation,477225bf4f6fca729b4947c68a49ba53af5fb0428686571bc103a6f680058a2d,8b44957f6ebaca7c04c4a0af6bf4fbb65085b8ecf0acaf3433dc727a25b74982
068,68,../../data_h3/cat_ids/05_短毛橘白梵花猫.png,../Ref_drag_yarn_ball_and_catch_mirror.mp4,../prepared/Ref_drag_yarn_ball_and_catch_mirror.motion.mp4,../prompts/drag_yarn_ball_and_catch_mirror.v1.en.txt,05,05-orange-white-van-shorthair,短毛橘白梵花猫,10,10-drag-yarn-ball-and-catch-mirror,drag_yarn_ball_and_catch_mirror,追扑从画面右向左滚动的毛线球并按住,0,068_05-orange-white-van-shorthair_10-drag-yarn-ball-and-catch-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch_mirror.v1,pending_model_validation,477225bf4f6fca729b4947c68a49ba53af5fb0428686571bc103a6f680058a2d,8b44957f6ebaca7c04c4a0af6bf4fbb65085b8ecf0acaf3433dc727a25b74982
080,80,../../data_h3/cat_ids/06_短毛黑猫.png,../Ref_drag_yarn_ball_and_catch_mirror.mp4,../prepared/Ref_drag_yarn_ball_and_catch_mirror.motion.mp4,../prompts/drag_yarn_ball_and_catch_mirror.v1.en.txt,06,06-black-shorthair,短毛黑猫,10,10-drag-yarn-ball-and-catch-mirror,drag_yarn_ball_and_catch_mirror,追扑从画面右向左滚动的毛线球并按住,0,080_06-black-shorthair_10-drag-yarn-ball-and-catch-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch_mirror.v1,pending_model_validation,477225bf4f6fca729b4947c68a49ba53af5fb0428686571bc103a6f680058a2d,8b44957f6ebaca7c04c4a0af6bf4fbb65085b8ecf0acaf3433dc727a25b74982
092,92,../../data_h3/cat_ids/07_长毛异瞳白猫.png,../Ref_drag_yarn_ball_and_catch_mirror.mp4,../prepared/Ref_drag_yarn_ball_and_catch_mirror.motion.mp4,../prompts/drag_yarn_ball_and_catch_mirror.v1.en.txt,07,07-odd-eyed-white-longhair,长毛异瞳白猫,10,10-drag-yarn-ball-and-catch-mirror,drag_yarn_ball_and_catch_mirror,追扑从画面右向左滚动的毛线球并按住,0,092_07-odd-eyed-white-longhair_10-drag-yarn-ball-and-catch-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch_mirror.v1,pending_model_validation,477225bf4f6fca729b4947c68a49ba53af5fb0428686571bc103a6f680058a2d,8b44957f6ebaca7c04c4a0af6bf4fbb65085b8ecf0acaf3433dc727a25b74982
104,104,../../data_h3/cat_ids/08_短毛棕色鱼骨纹猫.png,../Ref_drag_yarn_ball_and_catch_mirror.mp4,../prepared/Ref_drag_yarn_ball_and_catch_mirror.motion.mp4,../prompts/drag_yarn_ball_and_catch_mirror.v1.en.txt,08,08-brown-shorthair-mackerel-tabby,短毛棕色鱼骨纹猫,10,10-drag-yarn-ball-and-catch-mirror,drag_yarn_ball_and_catch_mirror,追扑从画面右向左滚动的毛线球并按住,0,104_08-brown-shorthair-mackerel-tabby_10-drag-yarn-ball-and-catch-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch_mirror.v1,pending_model_validation,477225bf4f6fca729b4947c68a49ba53af5fb0428686571bc103a6f680058a2d,8b44957f6ebaca7c04c4a0af6bf4fbb65085b8ecf0acaf3433dc727a25b74982
116,116,../../data_h3/cat_ids/09_短毛棕色经典虎斑猫.png,../Ref_drag_yarn_ball_and_catch_mirror.mp4,../prepared/Ref_drag_yarn_ball_and_catch_mirror.motion.mp4,../prompts/drag_yarn_ball_and_catch_mirror.v1.en.txt,09,09-brown-shorthair-classic-tabby,短毛棕色经典虎斑猫,10,10-drag-yarn-ball-and-catch-mirror,drag_yarn_ball_and_catch_mirror,追扑从画面右向左滚动的毛线球并按住,0,116_09-brown-shorthair-classic-tabby_10-drag-yarn-ball-and-catch-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch_mirror.v1,pending_model_validation,477225bf4f6fca729b4947c68a49ba53af5fb0428686571bc103a6f680058a2d,8b44957f6ebaca7c04c4a0af6bf4fbb65085b8ecf0acaf3433dc727a25b74982
