id,source_id,input_image,source_reference_video,reference_video,prompt_file,cat_idx,cat_id,cat_name_zh,motion_idx,motion_id,motion_slug,motion_name_zh,seed,output_name,duration_seconds,reference_duration_seconds,fps,width,height,source_aspect_ratio,aspect_ratio,prompt_version,prompt_status,prompt_sha256,source_reference_sha256
011,11,../../data_h3/cat_ids/00_短毛橘猫鱼骨纹.png,../Ref_walk_forward_to_screen.mp4,../prepared/Ref_walk_forward_to_screen.motion.mp4,../prompts/walk_forward_to_screen.v1.en.txt,00,00-orange-shorthair-mackerel-tabby,短毛橘猫鱼骨纹,13,13-walk-forward-to-screen,walk_forward_to_screen,起身向镜头走近并在近处站定,0,011_00-orange-shorthair-mackerel-tabby_13-walk-forward-to-screen_seed-0,4,4.041699,24,480,832,15:26,9:16,walk_forward_to_screen.v1,pending_model_validation,18c1e41e3d0bc7b332298f78c798593c6903d921bcab1cd40f5525438039f02c,b63a08fc2ef943e20b969f5567a1c9334a3d7ca21d68db70b052c4345a83014a
023,23,../../data_h3/cat_ids/01_短毛橘猫经典虎斑.png,../Ref_walk_forward_to_screen.mp4,../prepared/Ref_walk_forward_to_screen.motion.mp4,../prompts/walk_forward_to_screen.v1.en.txt,01,01-orange-shorthair-classic-tabby,短毛橘猫经典虎斑,13,13-walk-forward-to-screen,walk_forward_to_screen,起身向镜头走近并在近处站定,0,023_01-orange-shorthair-classic-tabby_13-walk-forward-to-screen_seed-0,4,4.041699,24,480,832,15:26,9:16,walk_forward_to_screen.v1,pending_model_validation,18c1e41e3d0bc7b332298f78c798593c6903d921bcab1cd40f5525438039f02c,b63a08fc2ef943e20b969f5567a1c9334a3d7ca21d68db70b052c4345a83014a
035,35,../../data_h3/cat_ids/02_长毛橘猫.png,../Ref_walk_forward_to_screen.mp4,../prepared/Ref_walk_forward_to_screen.motion.mp4,../prompts/walk_forward_to_screen.v1.en.txt,02,02-orange-longhair,长毛橘猫,13,13-walk-forward-to-screen,walk_forward_to_screen,起身向镜头走近并在近处站定,0,035_02-orange-longhair_13-walk-forward-to-screen_seed-0,4,4.041699,24,480,832,15:26,9:16,walk_forward_to_screen.v1,pending_model_validation,18c1e41e3d0bc7b332298f78c798593c6903d921bcab1cd40f5525438039f02c,b63a08fc2ef943e20b969f5567a1c9334a3d7ca21d68db70b052c4345a83014a
047,47,../../data_h3/cat_ids/03_短毛奶油虎斑猫.png,../Ref_walk_forward_to_screen.mp4,../prepared/Ref_walk_forward_to_screen.motion.mp4,../prompts/walk_forward_to_screen.v1.en.txt,03,03-cream-shorthair-tabby,短毛奶油虎斑猫,13,13-walk-forward-to-screen,walk_forward_to_screen,起身向镜头走近并在近处站定,0,047_03-cream-shorthair-tabby_13-walk-forward-to-screen_seed-0,4,4.041699,24,480,832,15:26,9:16,walk_forward_to_screen.v1,pending_model_validation,18c1e41e3d0bc7b332298f78c798593c6903d921bcab1cd40f5525438039f02c,b63a08fc2ef943e20b969f5567a1c9334a3d7ca21d68db70b052c4345a83014a
059,59,../../data_h3/cat_ids/04_长毛奶油加白猫.png,../Ref_walk_forward_to_screen.mp4,../prepared/Ref_walk_forward_to_screen.motion.mp4,../prompts/walk_forward_to_screen.v1.en.txt,04,04-cream-white-longhair,长毛奶油加白猫,13,13-walk-forward-to-screen,walk_forward_to_screen,起身向镜头走近并在近处站定,0,059_04-cream-white-longhair_13-walk-forward-to-screen_seed-0,4,4.041699,24,480,832,15:26,9:16,walk_forward_to_screen.v1,pending_model_validation,18c1e41e3d0bc7b332298f78c798593c6903d921bcab1cd40f5525438039f02c,b63a08fc2ef943e20b969f5567a1c9334a3d7ca21d68db70b052c4345a83014a
071,71,../../data_h3/cat_ids/05_短毛橘白梵花猫.png,../Ref_walk_forward_to_screen.mp4,../prepared/Ref_walk_forward_to_screen.motion.mp4,../prompts/walk_forward_to_screen.v1.en.txt,05,05-orange-white-van-shorthair,短毛橘白梵花猫,13,13-walk-forward-to-screen,walk_forward_to_screen,起身向镜头走近并在近处站定,0,071_05-orange-white-van-shorthair_13-walk-forward-to-screen_seed-0,4,4.041699,24,480,832,15:26,9:16,walk_forward_to_screen.v1,pending_model_validation,18c1e41e3d0bc7b332298f78c798593c6903d921bcab1cd40f5525438039f02c,b63a08fc2ef943e20b969f5567a1c9334a3d7ca21d68db70b052c4345a83014a
083,83,../../data_h3/cat_ids/06_短毛黑猫.png,../Ref_walk_forward_to_screen.mp4,../prepared/Ref_walk_forward_to_screen.motion.mp4,../prompts/walk_forward_to_screen.v1.en.txt,06,06-black-shorthair,短毛黑猫,13,13-walk-forward-to-screen,walk_forward_to_screen,起身向镜头走近并在近处站定,0,083_06-black-shorthair_13-walk-forward-to-screen_seed-0,4,4.041699,24,480,832,15:26,9:16,walk_forward_to_screen.v1,pending_model_validation,18c1e41e3d0bc7b332298f78c798593c6903d921bcab1cd40f5525438039f02c,b63a08fc2ef943e20b969f5567a1c9334a3d7ca21d68db70b052c4345a83014a
095,95,../../data_h3/cat_ids/07_长毛异瞳白猫.png,../Ref_walk_forward_to_screen.mp4,../prepared/Ref_walk_forward_to_screen.motion.mp4,../prompts/walk_forward_to_screen.v1.en.txt,07,07-odd-eyed-white-longhair,长毛异瞳白猫,13,13-walk-forward-to-screen,walk_forward_to_screen,起身向镜头走近并在近处站定,0,095_07-odd-eyed-white-longhair_13-walk-forward-to-screen_seed-0,4,4.041699,24,480,832,15:26,9:16,walk_forward_to_screen.v1,pending_model_validation,18c1e41e3d0bc7b332298f78c798593c6903d921bcab1cd40f5525438039f02c,b63a08fc2ef943e20b969f5567a1c9334a3d7ca21d68db70b052c4345a83014a
107,107,../../data_h3/cat_ids/08_短毛棕色鱼骨纹猫.png,../Ref_walk_forward_to_screen.mp4,../prepared/Ref_walk_forward_to_screen.motion.mp4,../prompts/walk_forward_to_screen.v1.en.txt,08,08-brown-shorthair-mackerel-tabby,短毛棕色鱼骨纹猫,13,13-walk-forward-to-screen,walk_forward_to_screen,起身向镜头走近并在近处站定,0,107_08-brown-shorthair-mackerel-tabby_13-walk-forward-to-screen_seed-0,4,4.041699,24,480,832,15:26,9:16,walk_forward_to_screen.v1,pending_model_validation,18c1e41e3d0bc7b332298f78c798593c6903d921bcab1cd40f5525438039f02c,b63a08fc2ef943e20b969f5567a1c9334a3d7ca21d68db70b052c4345a83014a
119,119,../../data_h3/cat_ids/09_短毛棕色经典虎斑猫.png,../Ref_walk_forward_to_screen.mp4,../prepared/Ref_walk_forward_to_screen.motion.mp4,../prompts/walk_forward_to_screen.v1.en.txt,09,09-brown-shorthair-classic-tabby,短毛棕色经典虎斑猫,13,13-walk-forward-to-screen,walk_forward_to_screen,起身向镜头走近并在近处站定,0,119_09-brown-shorthair-classic-tabby_13-walk-forward-to-screen_seed-0,4,4.041699,24,480,832,15:26,9:16,walk_forward_to_screen.v1,pending_model_validation,18c1e41e3d0bc7b332298f78c798593c6903d921bcab1cd40f5525438039f02c,b63a08fc2ef943e20b969f5567a1c9334a3d7ca21d68db70b052c4345a83014a
