id,source_id,input_image,source_reference_video,reference_video,prompt_file,cat_idx,cat_id,cat_name_zh,motion_idx,motion_id,motion_slug,motion_name_zh,seed,output_name,duration_seconds,reference_duration_seconds,fps,width,height,source_aspect_ratio,aspect_ratio,prompt_version,prompt_status,prompt_sha256,source_reference_sha256
000,0,../data_h3/cat_ids/00_短毛橘猫鱼骨纹.png,Ref_drag_ear.mp4,prepared/Ref_drag_ear.motion.mp4,prompts/drag_ear.v1.en.txt,00,00-orange-shorthair-mackerel-tabby,短毛橘猫鱼骨纹,02,02-pull-left-ear,drag_ear,左前爪轻擦左耳与脸部后恢复坐姿,0,000_00-orange-shorthair-mackerel-tabby_02-pull-left-ear_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear.v1,pending_model_validation,dbdc93fe3f0e922d0d53d3b6c78e213e176b5230876cf046e5da697fd2320d7b,241a5d66949edcf078e592e2d02939921c2ff68968a95640d4e5a7e2c4fe75c1
001,1,../data_h3/cat_ids/00_短毛橘猫鱼骨纹.png,Ref_drag_ear_mirror.mp4,prepared/Ref_drag_ear_mirror.motion.mp4,prompts/drag_ear_mirror.v1.en.txt,00,00-orange-shorthair-mackerel-tabby,短毛橘猫鱼骨纹,03,03-drag-ear-mirror,drag_ear_mirror,右前爪轻擦右耳与脸部后恢复坐姿,0,001_00-orange-shorthair-mackerel-tabby_03-drag-ear-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear_mirror.v1,pending_model_validation,68fc5e929e94c082c0da4f6ccda4e0b2f4f8e49e4da6baacf37e6a84c69f2fb3,f5a0412ed913f5aad8bffb33c68c3b0ad7f4923f44f06370f768483b146897f4
002,2,../data_h3/cat_ids/00_短毛橘猫鱼骨纹.png,Ref_cat_teaser1.mp4,prepared/Ref_cat_teaser1.motion.mp4,prompts/cat_teaser1.v1.en.txt,00,00-orange-shorthair-mackerel-tabby,短毛橘猫鱼骨纹,04,04-cat-teaser1,cat_teaser1,左前爪坐姿拨打逗猫棒后注视玩具,0,002_00-orange-shorthair-mackerel-tabby_04-cat-teaser1_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser1.v1,pending_model_validation,28971748699ea020c1f7f9f78e45a8407665e85ec6df04732794d5fefc6126de,90ead0cb85338d88512f89fc4fdaa1599eaae717252a8a228289e47e9f7150f0
003,3,../data_h3/cat_ids/00_短毛橘猫鱼骨纹.png,Ref_cat_teaser1_mirror.mp4,prepared/Ref_cat_teaser1_mirror.motion.mp4,prompts/cat_teaser1_mirror.v1.en.txt,00,00-orange-shorthair-mackerel-tabby,短毛橘猫鱼骨纹,05,05-cat-teaser1-mirror,cat_teaser1_mirror,右前爪坐姿拨打逗猫棒后注视玩具,0,003_00-orange-shorthair-mackerel-tabby_05-cat-teaser1-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser1_mirror.v1,pending_model_validation,5c7abea398cc5cec6ee97bd79e91c601838c2218c8101bd13041c5753a5e72ec,af450da4b11a442fbb8dc3b090842b494306a33800841e4f3ac9399fb1a3e695
004,4,../data_h3/cat_ids/00_短毛橘猫鱼骨纹.png,Ref_cat_teaser2.mp4,prepared/Ref_cat_teaser2.motion.mp4,prompts/cat_teaser2.v1.en.txt,00,00-orange-shorthair-mackerel-tabby,短毛橘猫鱼骨纹,06,06-cat-teaser2,cat_teaser2,起身向画面右侧追拍逗猫棒并站定,0,004_00-orange-shorthair-mackerel-tabby_06-cat-teaser2_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser2.v1,pending_model_validation,d24950c871f5181f868624b0d0235308584d0cda7f2fe02eb6c362bca9be17e4,a8c95e9c38443d4d231086357cb356e7c98cb2af1a6bfa216feae39e945cc0ec
005,5,../data_h3/cat_ids/00_短毛橘猫鱼骨纹.png,Ref_cat_teaser2_mirror.mp4,prepared/Ref_cat_teaser2_mirror.motion.mp4,prompts/cat_teaser2_mirror.v1.en.txt,00,00-orange-shorthair-mackerel-tabby,短毛橘猫鱼骨纹,07,07-cat-teaser2-mirror,cat_teaser2_mirror,起身向画面左侧追拍逗猫棒并站定,0,005_00-orange-shorthair-mackerel-tabby_07-cat-teaser2-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser2_mirror.v1,pending_model_validation,96e072371eb22e5b130ddeb5d0d5286b26069e03ec55aa98d8eb8998108588b0,7d4ae2310b662639649d68fa4f699951317c36f76eb715534248659d1924613d
006,6,../data_h3/cat_ids/00_短毛橘猫鱼骨纹.png,Ref_cat_teaser3.mp4,prepared/Ref_cat_teaser3.motion.mp4,prompts/cat_teaser3.v1.en.txt,00,00-orange-shorthair-mackerel-tabby,短毛橘猫鱼骨纹,08,08-cat-teaser3,cat_teaser3,双前爪抬起抓扑逗猫棒后落地坐定,0,006_00-orange-shorthair-mackerel-tabby_08-cat-teaser3_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser3.v1,pending_model_validation,28125c76324f19aa23e77ae9b7227ec9da10d152f0fe3eb89243ddf4b0cd0c6b,71df79527a94810bcacebc9cb956fa137c891a4ed437386697434b19c5fbb7ce
007,7,../data_h3/cat_ids/00_短毛橘猫鱼骨纹.png,Ref_drag_yarn_ball_and_catch.mp4,prepared/Ref_drag_yarn_ball_and_catch.motion.mp4,prompts/drag_yarn_ball_and_catch.v1.en.txt,00,00-orange-shorthair-mackerel-tabby,短毛橘猫鱼骨纹,09,09-drag-yarn-ball-and-catch,drag_yarn_ball_and_catch,追扑从画面左向右滚动的毛线球并按住,0,007_00-orange-shorthair-mackerel-tabby_09-drag-yarn-ball-and-catch_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch.v1,pending_model_validation,7ebe1b2a01564d805523f56b909e9a53772ebed08cbeda3c79c1765cceab70f6,5b888bc1cdc661bc3b5760445027966ef8d36a31c447614acbd23d3ca6af442e
008,8,../data_h3/cat_ids/00_短毛橘猫鱼骨纹.png,Ref_drag_yarn_ball_and_catch_mirror.mp4,prepared/Ref_drag_yarn_ball_and_catch_mirror.motion.mp4,prompts/drag_yarn_ball_and_catch_mirror.v1.en.txt,00,00-orange-shorthair-mackerel-tabby,短毛橘猫鱼骨纹,10,10-drag-yarn-ball-and-catch-mirror,drag_yarn_ball_and_catch_mirror,追扑从画面右向左滚动的毛线球并按住,0,008_00-orange-shorthair-mackerel-tabby_10-drag-yarn-ball-and-catch-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch_mirror.v1,pending_model_validation,477225bf4f6fca729b4947c68a49ba53af5fb0428686571bc103a6f680058a2d,8b44957f6ebaca7c04c4a0af6bf4fbb65085b8ecf0acaf3433dc727a25b74982
009,9,../data_h3/cat_ids/00_短毛橘猫鱼骨纹.png, Ref_curl_up_and_lie_down.mp4,prepared/ Ref_curl_up_and_lie_down.motion.mp4,prompts/curl_up_and_lie_down.v1.en.txt,00,00-orange-shorthair-mackerel-tabby,短毛橘猫鱼骨纹,11,11-curl-up-and-lie-down,curl_up_and_lie_down,低头向画面左侧蜷卧并闭眼休息,0,009_00-orange-shorthair-mackerel-tabby_11-curl-up-and-lie-down_seed-0,4,4.0,24,480,832,15:26,9:16,curl_up_and_lie_down.v1,pending_model_validation,9217effb2f85c4322c192edb9cc4c687268e1285527679229ed2d92161f10f6b,8414a980252d2baee6444085d2755563b7e0ccb3a138027e7cc6c1233be766eb
010,10,../data_h3/cat_ids/00_短毛橘猫鱼骨纹.png,Ref_curl_up_and_lie_down_mirror.mp4,prepared/Ref_curl_up_and_lie_down_mirror.motion.mp4,prompts/curl_up_and_lie_down_mirror.v1.en.txt,00,00-orange-shorthair-mackerel-tabby,短毛橘猫鱼骨纹,12,12-curl-up-and-lie-down-mirror,curl_up_and_lie_down_mirror,低头向画面右侧蜷卧并闭眼休息,0,010_00-orange-shorthair-mackerel-tabby_12-curl-up-and-lie-down-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,curl_up_and_lie_down_mirror.v1,pending_model_validation,0ae3d03ab930f2329999e943296bf3ba83b1968a23833a258ffc30a3fc3491e0,5dcfd307dd80e4bd86fa73aff45f41f66eced8aba348a07f81f559f008a63527
011,11,../data_h3/cat_ids/00_短毛橘猫鱼骨纹.png,walk_forward_to_screen.mp4,prepared/walk_forward_to_screen.motion.mp4,prompts/walk_forward_to_screen.v1.en.txt,00,00-orange-shorthair-mackerel-tabby,短毛橘猫鱼骨纹,13,13-walk-forward-to-screen,walk_forward_to_screen,起身向镜头走近并在近处站定,0,011_00-orange-shorthair-mackerel-tabby_13-walk-forward-to-screen_seed-0,4,4.041699,24,480,832,15:26,9:16,walk_forward_to_screen.v1,pending_model_validation,18c1e41e3d0bc7b332298f78c798593c6903d921bcab1cd40f5525438039f02c,b63a08fc2ef943e20b969f5567a1c9334a3d7ca21d68db70b052c4345a83014a
012,12,../data_h3/cat_ids/01_短毛橘猫经典虎斑.png,Ref_drag_ear.mp4,prepared/Ref_drag_ear.motion.mp4,prompts/drag_ear.v1.en.txt,01,01-orange-shorthair-classic-tabby,短毛橘猫经典虎斑,02,02-pull-left-ear,drag_ear,左前爪轻擦左耳与脸部后恢复坐姿,0,012_01-orange-shorthair-classic-tabby_02-pull-left-ear_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear.v1,pending_model_validation,dbdc93fe3f0e922d0d53d3b6c78e213e176b5230876cf046e5da697fd2320d7b,241a5d66949edcf078e592e2d02939921c2ff68968a95640d4e5a7e2c4fe75c1
013,13,../data_h3/cat_ids/01_短毛橘猫经典虎斑.png,Ref_drag_ear_mirror.mp4,prepared/Ref_drag_ear_mirror.motion.mp4,prompts/drag_ear_mirror.v1.en.txt,01,01-orange-shorthair-classic-tabby,短毛橘猫经典虎斑,03,03-drag-ear-mirror,drag_ear_mirror,右前爪轻擦右耳与脸部后恢复坐姿,0,013_01-orange-shorthair-classic-tabby_03-drag-ear-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,drag_ear_mirror.v1,pending_model_validation,68fc5e929e94c082c0da4f6ccda4e0b2f4f8e49e4da6baacf37e6a84c69f2fb3,f5a0412ed913f5aad8bffb33c68c3b0ad7f4923f44f06370f768483b146897f4
014,14,../data_h3/cat_ids/01_短毛橘猫经典虎斑.png,Ref_cat_teaser1.mp4,prepared/Ref_cat_teaser1.motion.mp4,prompts/cat_teaser1.v1.en.txt,01,01-orange-shorthair-classic-tabby,短毛橘猫经典虎斑,04,04-cat-teaser1,cat_teaser1,左前爪坐姿拨打逗猫棒后注视玩具,0,014_01-orange-shorthair-classic-tabby_04-cat-teaser1_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser1.v1,pending_model_validation,28971748699ea020c1f7f9f78e45a8407665e85ec6df04732794d5fefc6126de,90ead0cb85338d88512f89fc4fdaa1599eaae717252a8a228289e47e9f7150f0
015,15,../data_h3/cat_ids/01_短毛橘猫经典虎斑.png,Ref_cat_teaser1_mirror.mp4,prepared/Ref_cat_teaser1_mirror.motion.mp4,prompts/cat_teaser1_mirror.v1.en.txt,01,01-orange-shorthair-classic-tabby,短毛橘猫经典虎斑,05,05-cat-teaser1-mirror,cat_teaser1_mirror,右前爪坐姿拨打逗猫棒后注视玩具,0,015_01-orange-shorthair-classic-tabby_05-cat-teaser1-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser1_mirror.v1,pending_model_validation,5c7abea398cc5cec6ee97bd79e91c601838c2218c8101bd13041c5753a5e72ec,af450da4b11a442fbb8dc3b090842b494306a33800841e4f3ac9399fb1a3e695
016,16,../data_h3/cat_ids/01_短毛橘猫经典虎斑.png,Ref_cat_teaser2.mp4,prepared/Ref_cat_teaser2.motion.mp4,prompts/cat_teaser2.v1.en.txt,01,01-orange-shorthair-classic-tabby,短毛橘猫经典虎斑,06,06-cat-teaser2,cat_teaser2,起身向画面右侧追拍逗猫棒并站定,0,016_01-orange-shorthair-classic-tabby_06-cat-teaser2_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser2.v1,pending_model_validation,d24950c871f5181f868624b0d0235308584d0cda7f2fe02eb6c362bca9be17e4,a8c95e9c38443d4d231086357cb356e7c98cb2af1a6bfa216feae39e945cc0ec
017,17,../data_h3/cat_ids/01_短毛橘猫经典虎斑.png,Ref_cat_teaser2_mirror.mp4,prepared/Ref_cat_teaser2_mirror.motion.mp4,prompts/cat_teaser2_mirror.v1.en.txt,01,01-orange-shorthair-classic-tabby,短毛橘猫经典虎斑,07,07-cat-teaser2-mirror,cat_teaser2_mirror,起身向画面左侧追拍逗猫棒并站定,0,017_01-orange-shorthair-classic-tabby_07-cat-teaser2-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser2_mirror.v1,pending_model_validation,96e072371eb22e5b130ddeb5d0d5286b26069e03ec55aa98d8eb8998108588b0,7d4ae2310b662639649d68fa4f699951317c36f76eb715534248659d1924613d
018,18,../data_h3/cat_ids/01_短毛橘猫经典虎斑.png,Ref_cat_teaser3.mp4,prepared/Ref_cat_teaser3.motion.mp4,prompts/cat_teaser3.v1.en.txt,01,01-orange-shorthair-classic-tabby,短毛橘猫经典虎斑,08,08-cat-teaser3,cat_teaser3,双前爪抬起抓扑逗猫棒后落地坐定,0,018_01-orange-shorthair-classic-tabby_08-cat-teaser3_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser3.v1,pending_model_validation,28125c76324f19aa23e77ae9b7227ec9da10d152f0fe3eb89243ddf4b0cd0c6b,71df79527a94810bcacebc9cb956fa137c891a4ed437386697434b19c5fbb7ce
019,19,../data_h3/cat_ids/01_短毛橘猫经典虎斑.png,Ref_drag_yarn_ball_and_catch.mp4,prepared/Ref_drag_yarn_ball_and_catch.motion.mp4,prompts/drag_yarn_ball_and_catch.v1.en.txt,01,01-orange-shorthair-classic-tabby,短毛橘猫经典虎斑,09,09-drag-yarn-ball-and-catch,drag_yarn_ball_and_catch,追扑从画面左向右滚动的毛线球并按住,0,019_01-orange-shorthair-classic-tabby_09-drag-yarn-ball-and-catch_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch.v1,pending_model_validation,7ebe1b2a01564d805523f56b909e9a53772ebed08cbeda3c79c1765cceab70f6,5b888bc1cdc661bc3b5760445027966ef8d36a31c447614acbd23d3ca6af442e
020,20,../data_h3/cat_ids/01_短毛橘猫经典虎斑.png,Ref_drag_yarn_ball_and_catch_mirror.mp4,prepared/Ref_drag_yarn_ball_and_catch_mirror.motion.mp4,prompts/drag_yarn_ball_and_catch_mirror.v1.en.txt,01,01-orange-shorthair-classic-tabby,短毛橘猫经典虎斑,10,10-drag-yarn-ball-and-catch-mirror,drag_yarn_ball_and_catch_mirror,追扑从画面右向左滚动的毛线球并按住,0,020_01-orange-shorthair-classic-tabby_10-drag-yarn-ball-and-catch-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch_mirror.v1,pending_model_validation,477225bf4f6fca729b4947c68a49ba53af5fb0428686571bc103a6f680058a2d,8b44957f6ebaca7c04c4a0af6bf4fbb65085b8ecf0acaf3433dc727a25b74982
021,21,../data_h3/cat_ids/01_短毛橘猫经典虎斑.png, Ref_curl_up_and_lie_down.mp4,prepared/ Ref_curl_up_and_lie_down.motion.mp4,prompts/curl_up_and_lie_down.v1.en.txt,01,01-orange-shorthair-classic-tabby,短毛橘猫经典虎斑,11,11-curl-up-and-lie-down,curl_up_and_lie_down,低头向画面左侧蜷卧并闭眼休息,0,021_01-orange-shorthair-classic-tabby_11-curl-up-and-lie-down_seed-0,4,4.0,24,480,832,15:26,9:16,curl_up_and_lie_down.v1,pending_model_validation,9217effb2f85c4322c192edb9cc4c687268e1285527679229ed2d92161f10f6b,8414a980252d2baee6444085d2755563b7e0ccb3a138027e7cc6c1233be766eb
022,22,../data_h3/cat_ids/01_短毛橘猫经典虎斑.png,Ref_curl_up_and_lie_down_mirror.mp4,prepared/Ref_curl_up_and_lie_down_mirror.motion.mp4,prompts/curl_up_and_lie_down_mirror.v1.en.txt,01,01-orange-shorthair-classic-tabby,短毛橘猫经典虎斑,12,12-curl-up-and-lie-down-mirror,curl_up_and_lie_down_mirror,低头向画面右侧蜷卧并闭眼休息,0,022_01-orange-shorthair-classic-tabby_12-curl-up-and-lie-down-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,curl_up_and_lie_down_mirror.v1,pending_model_validation,0ae3d03ab930f2329999e943296bf3ba83b1968a23833a258ffc30a3fc3491e0,5dcfd307dd80e4bd86fa73aff45f41f66eced8aba348a07f81f559f008a63527
023,23,../data_h3/cat_ids/01_短毛橘猫经典虎斑.png,walk_forward_to_screen.mp4,prepared/walk_forward_to_screen.motion.mp4,prompts/walk_forward_to_screen.v1.en.txt,01,01-orange-shorthair-classic-tabby,短毛橘猫经典虎斑,13,13-walk-forward-to-screen,walk_forward_to_screen,起身向镜头走近并在近处站定,0,023_01-orange-shorthair-classic-tabby_13-walk-forward-to-screen_seed-0,4,4.041699,24,480,832,15:26,9:16,walk_forward_to_screen.v1,pending_model_validation,18c1e41e3d0bc7b332298f78c798593c6903d921bcab1cd40f5525438039f02c,b63a08fc2ef943e20b969f5567a1c9334a3d7ca21d68db70b052c4345a83014a
