id,source_id,input_image,source_reference_video,reference_video,prompt_file,cat_idx,cat_id,cat_name_zh,motion_idx,motion_id,motion_slug,motion_name_zh,seed,output_name,duration_seconds,reference_duration_seconds,fps,width,height,source_aspect_ratio,aspect_ratio,prompt_version,prompt_status,prompt_sha256,source_reference_sha256,identity_prompt_file
122,122,../data_h3/cat_ids/10_短毛银色斑点猫.png,Ref_cat_teaser1.mp4,prepared/Ref_cat_teaser1.motion.mp4,prompts/cat_teaser1.v1.en.txt,10,10-silver-spotted-shorthair,短毛银色斑点猫,04,04-cat-teaser1,cat_teaser1,左前爪坐姿拨打逗猫棒后注视玩具,0,122_10-silver-spotted-shorthair_04-cat-teaser1_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser1.v1+cat_identity.v1,pending_model_validation,8ca339508722dc1598a185b2af79457a20edcf0a98fe27c64e8d3fd6e11ecca0,90ead0cb85338d88512f89fc4fdaa1599eaae717252a8a228289e47e9f7150f0,prompts/cat_identity.v1.json
134,134,../data_h3/cat_ids/11_黑白燕尾服猫.png,Ref_cat_teaser1.mp4,prepared/Ref_cat_teaser1.motion.mp4,prompts/cat_teaser1.v1.en.txt,11,11-black-white-tuxedo,黑白燕尾服猫,04,04-cat-teaser1,cat_teaser1,左前爪坐姿拨打逗猫棒后注视玩具,0,134_11-black-white-tuxedo_04-cat-teaser1_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser1.v1+cat_identity.v1,pending_model_validation,de9e54e49cfacc8309c00d0eb1315b109af201830928e409018509c53f19643c,90ead0cb85338d88512f89fc4fdaa1599eaae717252a8a228289e47e9f7150f0,prompts/cat_identity.v1.json
266,266,../data_h3/cat_ids/22_萨凡纳猫.png,Ref_cat_teaser1.mp4,prepared/Ref_cat_teaser1.motion.mp4,prompts/cat_teaser1.v1.en.txt,22,22-savannah,萨凡纳猫,04,04-cat-teaser1,cat_teaser1,左前爪坐姿拨打逗猫棒后注视玩具,0,266_22-savannah_04-cat-teaser1_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser1.v1+cat_identity.v1,pending_model_validation,1266f0918969ededcc697328507afb0178e9c7add121ce4f37239ce09699579d,90ead0cb85338d88512f89fc4fdaa1599eaae717252a8a228289e47e9f7150f0,prompts/cat_identity.v1.json
290,290,../data_h3/cat_ids/24_挪威森林猫琥珀色.png,Ref_cat_teaser1.mp4,prepared/Ref_cat_teaser1.motion.mp4,prompts/cat_teaser1.v1.en.txt,24,24-norwegian-forest-amber,挪威森林猫琥珀色,04,04-cat-teaser1,cat_teaser1,左前爪坐姿拨打逗猫棒后注视玩具,0,290_24-norwegian-forest-amber_04-cat-teaser1_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser1.v1+cat_identity.v1,pending_model_validation,aa2a9145eb783c598b4cb78c11e5d3cd1f7edf8cb24d7200f6ea74d13249c247,90ead0cb85338d88512f89fc4fdaa1599eaae717252a8a228289e47e9f7150f0,prompts/cat_identity.v1.json
302,302,../data_h3/cat_ids/25_西伯利亚猫银色.png,Ref_cat_teaser1.mp4,prepared/Ref_cat_teaser1.motion.mp4,prompts/cat_teaser1.v1.en.txt,25,25-siberian-silver,西伯利亚猫银色,04,04-cat-teaser1,cat_teaser1,左前爪坐姿拨打逗猫棒后注视玩具,0,302_25-siberian-silver_04-cat-teaser1_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser1.v1+cat_identity.v1,pending_model_validation,ae919e3cd21657eb96e3c71de8bbc7e95659ed7dc6b024a8f76e47a143064095,90ead0cb85338d88512f89fc4fdaa1599eaae717252a8a228289e47e9f7150f0,prompts/cat_identity.v1.json
314,314,../data_h3/cat_ids/26_涅瓦假面猫海豹山猫纹.png,Ref_cat_teaser1.mp4,prepared/Ref_cat_teaser1.motion.mp4,prompts/cat_teaser1.v1.en.txt,26,26-neva-masquerade-seal-lynx-point,涅瓦假面猫海豹山猫纹,04,04-cat-teaser1,cat_teaser1,左前爪坐姿拨打逗猫棒后注视玩具,0,314_26-neva-masquerade-seal-lynx-point_04-cat-teaser1_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser1.v1+cat_identity.v1,pending_model_validation,1f2a3aed52c3188688877cf743b8a005ec23ebede0ae815a58d7bd5f1f6023dc,90ead0cb85338d88512f89fc4fdaa1599eaae717252a8a228289e47e9f7150f0,prompts/cat_identity.v1.json
326,326,../data_h3/cat_ids/27_布偶猫蓝双色.png,Ref_cat_teaser1.mp4,prepared/Ref_cat_teaser1.motion.mp4,prompts/cat_teaser1.v1.en.txt,27,27-ragdoll-blue-bicolor,布偶猫蓝双色,04,04-cat-teaser1,cat_teaser1,左前爪坐姿拨打逗猫棒后注视玩具,0,326_27-ragdoll-blue-bicolor_04-cat-teaser1_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser1.v1+cat_identity.v1,pending_model_validation,736085406f50328e4ef4afbb87c8c897dc81b66a92f64301ef4387c23a8b25fe,90ead0cb85338d88512f89fc4fdaa1599eaae717252a8a228289e47e9f7150f0,prompts/cat_identity.v1.json
338,338,../data_h3/cat_ids/28_伯曼猫海豹重点色.png,Ref_cat_teaser1.mp4,prepared/Ref_cat_teaser1.motion.mp4,prompts/cat_teaser1.v1.en.txt,28,28-birman-seal-point,伯曼猫海豹重点色,04,04-cat-teaser1,cat_teaser1,左前爪坐姿拨打逗猫棒后注视玩具,0,338_28-birman-seal-point_04-cat-teaser1_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser1.v1+cat_identity.v1,pending_model_validation,fa53ed60a049c2e147d081d7e7371ec49aa253c98e1fe666e6cce30982368ec9,90ead0cb85338d88512f89fc4fdaa1599eaae717252a8a228289e47e9f7150f0,prompts/cat_identity.v1.json
350,350,../data_h3/cat_ids/29_波斯猫金吉拉色.png,Ref_cat_teaser1.mp4,prepared/Ref_cat_teaser1.motion.mp4,prompts/cat_teaser1.v1.en.txt,29,29-persian-chinchilla,波斯猫金吉拉色,04,04-cat-teaser1,cat_teaser1,左前爪坐姿拨打逗猫棒后注视玩具,0,350_29-persian-chinchilla_04-cat-teaser1_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser1.v1+cat_identity.v1,pending_model_validation,9a6a8a625b17336f5d6a5f19933cb4e0d231e005f63f8159a156a07754261a00,90ead0cb85338d88512f89fc4fdaa1599eaae717252a8a228289e47e9f7150f0,prompts/cat_identity.v1.json
410,410,../data_h3/cat_ids/34_暹罗猫海豹重点色.png,Ref_cat_teaser1.mp4,prepared/Ref_cat_teaser1.motion.mp4,prompts/cat_teaser1.v1.en.txt,34,34-siamese-seal-point,暹罗猫海豹重点色,04,04-cat-teaser1,cat_teaser1,左前爪坐姿拨打逗猫棒后注视玩具,0,410_34-siamese-seal-point_04-cat-teaser1_seed-0,4,4.0,24,480,832,15:26,9:16,cat_teaser1.v1+cat_identity.v1,pending_model_validation,a610b1571abb4b805e4766e89c740b97995ccc4c43c76ae38c9706057e781e81,90ead0cb85338d88512f89fc4fdaa1599eaae717252a8a228289e47e9f7150f0,prompts/cat_identity.v1.json
