id,source_id,input_image,source_reference_video,reference_video,prompt_file,cat_idx,cat_id,cat_name_zh,motion_idx,motion_id,motion_slug,motion_name_zh,seed,output_name,duration_seconds,reference_duration_seconds,fps,width,height,source_aspect_ratio,aspect_ratio,prompt_version,prompt_status,prompt_sha256,source_reference_sha256,identity_prompt_file
010,10,../data_h3/cat_ids/00_短毛橘猫鱼骨纹.png,Ref_curl_up_and_lie_down_mirror.mp4,prepared/Ref_curl_up_and_lie_down_mirror.motion.mp4,prompts/curl_up_and_lie_down_mirror.v1.en.txt,00,00-orange-shorthair-mackerel-tabby,短毛橘猫鱼骨纹,12,12-curl-up-and-lie-down-mirror,curl_up_and_lie_down_mirror,低头向画面右侧蜷卧并闭眼休息,0,010_00-orange-shorthair-mackerel-tabby_12-curl-up-and-lie-down-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,curl_up_and_lie_down_mirror.v1+cat_identity.v1,pending_model_validation,61a2c7b7b7eb6ed43369ac719dd10fdd8a74b85319d51e8ce32a6be531de1a1c,5dcfd307dd80e4bd86fa73aff45f41f66eced8aba348a07f81f559f008a63527,prompts/cat_identity.v1.json
022,22,../data_h3/cat_ids/01_短毛橘猫经典虎斑.png,Ref_curl_up_and_lie_down_mirror.mp4,prepared/Ref_curl_up_and_lie_down_mirror.motion.mp4,prompts/curl_up_and_lie_down_mirror.v1.en.txt,01,01-orange-shorthair-classic-tabby,短毛橘猫经典虎斑,12,12-curl-up-and-lie-down-mirror,curl_up_and_lie_down_mirror,低头向画面右侧蜷卧并闭眼休息,0,022_01-orange-shorthair-classic-tabby_12-curl-up-and-lie-down-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,curl_up_and_lie_down_mirror.v1+cat_identity.v1,pending_model_validation,67cc14da526bff3356a4eb7de42167458c452550be3a2d7fa51724342131cf88,5dcfd307dd80e4bd86fa73aff45f41f66eced8aba348a07f81f559f008a63527,prompts/cat_identity.v1.json
034,34,../data_h3/cat_ids/02_长毛橘猫.png,Ref_curl_up_and_lie_down_mirror.mp4,prepared/Ref_curl_up_and_lie_down_mirror.motion.mp4,prompts/curl_up_and_lie_down_mirror.v1.en.txt,02,02-orange-longhair,长毛橘猫,12,12-curl-up-and-lie-down-mirror,curl_up_and_lie_down_mirror,低头向画面右侧蜷卧并闭眼休息,0,034_02-orange-longhair_12-curl-up-and-lie-down-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,curl_up_and_lie_down_mirror.v1+cat_identity.v1,pending_model_validation,4c235ae8dde00ade18bdf9460b9ba54ff10b7472163ae5f7160b1d77726c7491,5dcfd307dd80e4bd86fa73aff45f41f66eced8aba348a07f81f559f008a63527,prompts/cat_identity.v1.json
046,46,../data_h3/cat_ids/03_短毛奶油虎斑猫.png,Ref_curl_up_and_lie_down_mirror.mp4,prepared/Ref_curl_up_and_lie_down_mirror.motion.mp4,prompts/curl_up_and_lie_down_mirror.v1.en.txt,03,03-cream-shorthair-tabby,短毛奶油虎斑猫,12,12-curl-up-and-lie-down-mirror,curl_up_and_lie_down_mirror,低头向画面右侧蜷卧并闭眼休息,0,046_03-cream-shorthair-tabby_12-curl-up-and-lie-down-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,curl_up_and_lie_down_mirror.v1+cat_identity.v1,pending_model_validation,3990cc1597704016a0717e20a376b9a1661f007fdd9d22b3a5d8e20f82cdf2c3,5dcfd307dd80e4bd86fa73aff45f41f66eced8aba348a07f81f559f008a63527,prompts/cat_identity.v1.json
058,58,../data_h3/cat_ids/04_长毛奶油加白猫.png,Ref_curl_up_and_lie_down_mirror.mp4,prepared/Ref_curl_up_and_lie_down_mirror.motion.mp4,prompts/curl_up_and_lie_down_mirror.v1.en.txt,04,04-cream-white-longhair,长毛奶油加白猫,12,12-curl-up-and-lie-down-mirror,curl_up_and_lie_down_mirror,低头向画面右侧蜷卧并闭眼休息,0,058_04-cream-white-longhair_12-curl-up-and-lie-down-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,curl_up_and_lie_down_mirror.v1+cat_identity.v1,pending_model_validation,c15794f7b4963abb7b65330422b702a4d099358ff1ecedfd469d7fcb563f108c,5dcfd307dd80e4bd86fa73aff45f41f66eced8aba348a07f81f559f008a63527,prompts/cat_identity.v1.json
070,70,../data_h3/cat_ids/05_短毛橘白梵花猫.png,Ref_curl_up_and_lie_down_mirror.mp4,prepared/Ref_curl_up_and_lie_down_mirror.motion.mp4,prompts/curl_up_and_lie_down_mirror.v1.en.txt,05,05-orange-white-van-shorthair,短毛橘白梵花猫,12,12-curl-up-and-lie-down-mirror,curl_up_and_lie_down_mirror,低头向画面右侧蜷卧并闭眼休息,0,070_05-orange-white-van-shorthair_12-curl-up-and-lie-down-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,curl_up_and_lie_down_mirror.v1+cat_identity.v1,pending_model_validation,56bfba76973d3a4fc6220cde05895e0c6e1dc5fbafebef1f385a8eb4fde94dfa,5dcfd307dd80e4bd86fa73aff45f41f66eced8aba348a07f81f559f008a63527,prompts/cat_identity.v1.json
082,82,../data_h3/cat_ids/06_短毛黑猫.png,Ref_curl_up_and_lie_down_mirror.mp4,prepared/Ref_curl_up_and_lie_down_mirror.motion.mp4,prompts/curl_up_and_lie_down_mirror.v1.en.txt,06,06-black-shorthair,短毛黑猫,12,12-curl-up-and-lie-down-mirror,curl_up_and_lie_down_mirror,低头向画面右侧蜷卧并闭眼休息,0,082_06-black-shorthair_12-curl-up-and-lie-down-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,curl_up_and_lie_down_mirror.v1+cat_identity.v1,pending_model_validation,89a2b21fdac9aff83d7216cac01edaacdd0a039270eb24c258e31e89154cad4d,5dcfd307dd80e4bd86fa73aff45f41f66eced8aba348a07f81f559f008a63527,prompts/cat_identity.v1.json
094,94,../data_h3/cat_ids/07_长毛异瞳白猫.png,Ref_curl_up_and_lie_down_mirror.mp4,prepared/Ref_curl_up_and_lie_down_mirror.motion.mp4,prompts/curl_up_and_lie_down_mirror.v1.en.txt,07,07-odd-eyed-white-longhair,长毛异瞳白猫,12,12-curl-up-and-lie-down-mirror,curl_up_and_lie_down_mirror,低头向画面右侧蜷卧并闭眼休息,0,094_07-odd-eyed-white-longhair_12-curl-up-and-lie-down-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,curl_up_and_lie_down_mirror.v1+cat_identity.v1,pending_model_validation,e1f32abe6f1310f1188e7177a074ec70b45460376300eee886fdb8e7bd8baa19,5dcfd307dd80e4bd86fa73aff45f41f66eced8aba348a07f81f559f008a63527,prompts/cat_identity.v1.json
106,106,../data_h3/cat_ids/08_短毛棕色鱼骨纹猫.png,Ref_curl_up_and_lie_down_mirror.mp4,prepared/Ref_curl_up_and_lie_down_mirror.motion.mp4,prompts/curl_up_and_lie_down_mirror.v1.en.txt,08,08-brown-shorthair-mackerel-tabby,短毛棕色鱼骨纹猫,12,12-curl-up-and-lie-down-mirror,curl_up_and_lie_down_mirror,低头向画面右侧蜷卧并闭眼休息,0,106_08-brown-shorthair-mackerel-tabby_12-curl-up-and-lie-down-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,curl_up_and_lie_down_mirror.v1+cat_identity.v1,pending_model_validation,6aa7a57fcb9b9c049bc9c90b5f6282de74b2816bb2dd5267721f0563e78da2a9,5dcfd307dd80e4bd86fa73aff45f41f66eced8aba348a07f81f559f008a63527,prompts/cat_identity.v1.json
118,118,../data_h3/cat_ids/09_短毛棕色经典虎斑猫.png,Ref_curl_up_and_lie_down_mirror.mp4,prepared/Ref_curl_up_and_lie_down_mirror.motion.mp4,prompts/curl_up_and_lie_down_mirror.v1.en.txt,09,09-brown-shorthair-classic-tabby,短毛棕色经典虎斑猫,12,12-curl-up-and-lie-down-mirror,curl_up_and_lie_down_mirror,低头向画面右侧蜷卧并闭眼休息,0,118_09-brown-shorthair-classic-tabby_12-curl-up-and-lie-down-mirror_seed-0,4,4.0,24,480,832,15:26,9:16,curl_up_and_lie_down_mirror.v1+cat_identity.v1,pending_model_validation,f7c6d271905a7392c1b316ff3edd69b16e4e1c1c27bd2f0acbe59b47f41bcfea,5dcfd307dd80e4bd86fa73aff45f41f66eced8aba348a07f81f559f008a63527,prompts/cat_identity.v1.json
