id,source_id,input_image,source_reference_video,reference_video,prompt_file,cat_idx,cat_id,cat_name_zh,motion_idx,motion_id,motion_slug,motion_name_zh,seed,output_name,duration_seconds,reference_duration_seconds,fps,width,height,source_aspect_ratio,aspect_ratio,prompt_version,prompt_status,prompt_sha256,source_reference_sha256,identity_prompt_file
007,7,../data_h3/cat_ids/00_短毛橘猫鱼骨纹.png,Ref_drag_yarn_ball_and_catch.mp4,prepared/Ref_drag_yarn_ball_and_catch.motion.mp4,prompts/drag_yarn_ball_and_catch.v1.en.txt,00,00-orange-shorthair-mackerel-tabby,短毛橘猫鱼骨纹,09,09-drag-yarn-ball-and-catch,drag_yarn_ball_and_catch,追扑从画面左向右滚动的毛线球并按住,0,007_00-orange-shorthair-mackerel-tabby_09-drag-yarn-ball-and-catch_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch.v1+cat_identity.v1,pending_model_validation,353789a3f2ccc7d428a7dbe0878b4778d9508c40fef42d1f3128535699651f47,5b888bc1cdc661bc3b5760445027966ef8d36a31c447614acbd23d3ca6af442e,prompts/cat_identity.v1.json
019,19,../data_h3/cat_ids/01_短毛橘猫经典虎斑.png,Ref_drag_yarn_ball_and_catch.mp4,prepared/Ref_drag_yarn_ball_and_catch.motion.mp4,prompts/drag_yarn_ball_and_catch.v1.en.txt,01,01-orange-shorthair-classic-tabby,短毛橘猫经典虎斑,09,09-drag-yarn-ball-and-catch,drag_yarn_ball_and_catch,追扑从画面左向右滚动的毛线球并按住,0,019_01-orange-shorthair-classic-tabby_09-drag-yarn-ball-and-catch_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch.v1+cat_identity.v1,pending_model_validation,4f6a1584b637a81d3d75ca859de56da82980800573d557dd8af6a07907d9e4b7,5b888bc1cdc661bc3b5760445027966ef8d36a31c447614acbd23d3ca6af442e,prompts/cat_identity.v1.json
031,31,../data_h3/cat_ids/02_长毛橘猫.png,Ref_drag_yarn_ball_and_catch.mp4,prepared/Ref_drag_yarn_ball_and_catch.motion.mp4,prompts/drag_yarn_ball_and_catch.v1.en.txt,02,02-orange-longhair,长毛橘猫,09,09-drag-yarn-ball-and-catch,drag_yarn_ball_and_catch,追扑从画面左向右滚动的毛线球并按住,0,031_02-orange-longhair_09-drag-yarn-ball-and-catch_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch.v1+cat_identity.v1,pending_model_validation,a1fb1b0bd8b927da0070ec2b8a4d7058e57570b93cbb33217ccf42d8207cbb7d,5b888bc1cdc661bc3b5760445027966ef8d36a31c447614acbd23d3ca6af442e,prompts/cat_identity.v1.json
043,43,../data_h3/cat_ids/03_短毛奶油虎斑猫.png,Ref_drag_yarn_ball_and_catch.mp4,prepared/Ref_drag_yarn_ball_and_catch.motion.mp4,prompts/drag_yarn_ball_and_catch.v1.en.txt,03,03-cream-shorthair-tabby,短毛奶油虎斑猫,09,09-drag-yarn-ball-and-catch,drag_yarn_ball_and_catch,追扑从画面左向右滚动的毛线球并按住,0,043_03-cream-shorthair-tabby_09-drag-yarn-ball-and-catch_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch.v1+cat_identity.v1,pending_model_validation,99112c6f5f1fae4c319d6ded847359c7d8ea7d674d56167541b7a528fc30148f,5b888bc1cdc661bc3b5760445027966ef8d36a31c447614acbd23d3ca6af442e,prompts/cat_identity.v1.json
055,55,../data_h3/cat_ids/04_长毛奶油加白猫.png,Ref_drag_yarn_ball_and_catch.mp4,prepared/Ref_drag_yarn_ball_and_catch.motion.mp4,prompts/drag_yarn_ball_and_catch.v1.en.txt,04,04-cream-white-longhair,长毛奶油加白猫,09,09-drag-yarn-ball-and-catch,drag_yarn_ball_and_catch,追扑从画面左向右滚动的毛线球并按住,0,055_04-cream-white-longhair_09-drag-yarn-ball-and-catch_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch.v1+cat_identity.v1,pending_model_validation,6cc6dee1764b90f1c428d036466413155c5dcb63fc499141fee280e38d969f22,5b888bc1cdc661bc3b5760445027966ef8d36a31c447614acbd23d3ca6af442e,prompts/cat_identity.v1.json
067,67,../data_h3/cat_ids/05_短毛橘白梵花猫.png,Ref_drag_yarn_ball_and_catch.mp4,prepared/Ref_drag_yarn_ball_and_catch.motion.mp4,prompts/drag_yarn_ball_and_catch.v1.en.txt,05,05-orange-white-van-shorthair,短毛橘白梵花猫,09,09-drag-yarn-ball-and-catch,drag_yarn_ball_and_catch,追扑从画面左向右滚动的毛线球并按住,0,067_05-orange-white-van-shorthair_09-drag-yarn-ball-and-catch_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch.v1+cat_identity.v1,pending_model_validation,7f74180983336543bc3bb309dd42ad4a31ed6eb8e91aac51907d4a13769e43ae,5b888bc1cdc661bc3b5760445027966ef8d36a31c447614acbd23d3ca6af442e,prompts/cat_identity.v1.json
079,79,../data_h3/cat_ids/06_短毛黑猫.png,Ref_drag_yarn_ball_and_catch.mp4,prepared/Ref_drag_yarn_ball_and_catch.motion.mp4,prompts/drag_yarn_ball_and_catch.v1.en.txt,06,06-black-shorthair,短毛黑猫,09,09-drag-yarn-ball-and-catch,drag_yarn_ball_and_catch,追扑从画面左向右滚动的毛线球并按住,0,079_06-black-shorthair_09-drag-yarn-ball-and-catch_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch.v1+cat_identity.v1,pending_model_validation,77bfbf4b01c4b08e3971742c7245b88c92ea06bb29cfc81fc77b9f6c9cfd1436,5b888bc1cdc661bc3b5760445027966ef8d36a31c447614acbd23d3ca6af442e,prompts/cat_identity.v1.json
091,91,../data_h3/cat_ids/07_长毛异瞳白猫.png,Ref_drag_yarn_ball_and_catch.mp4,prepared/Ref_drag_yarn_ball_and_catch.motion.mp4,prompts/drag_yarn_ball_and_catch.v1.en.txt,07,07-odd-eyed-white-longhair,长毛异瞳白猫,09,09-drag-yarn-ball-and-catch,drag_yarn_ball_and_catch,追扑从画面左向右滚动的毛线球并按住,0,091_07-odd-eyed-white-longhair_09-drag-yarn-ball-and-catch_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch.v1+cat_identity.v1,pending_model_validation,6f0785396d262aa0134ebdd0c4f9333766effa37b332735c7991b51b8928d009,5b888bc1cdc661bc3b5760445027966ef8d36a31c447614acbd23d3ca6af442e,prompts/cat_identity.v1.json
103,103,../data_h3/cat_ids/08_短毛棕色鱼骨纹猫.png,Ref_drag_yarn_ball_and_catch.mp4,prepared/Ref_drag_yarn_ball_and_catch.motion.mp4,prompts/drag_yarn_ball_and_catch.v1.en.txt,08,08-brown-shorthair-mackerel-tabby,短毛棕色鱼骨纹猫,09,09-drag-yarn-ball-and-catch,drag_yarn_ball_and_catch,追扑从画面左向右滚动的毛线球并按住,0,103_08-brown-shorthair-mackerel-tabby_09-drag-yarn-ball-and-catch_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch.v1+cat_identity.v1,pending_model_validation,9542d11b265cd1c9f7086bd938b658b1c94a0b2e0cfa2efa5314123a9407389e,5b888bc1cdc661bc3b5760445027966ef8d36a31c447614acbd23d3ca6af442e,prompts/cat_identity.v1.json
115,115,../data_h3/cat_ids/09_短毛棕色经典虎斑猫.png,Ref_drag_yarn_ball_and_catch.mp4,prepared/Ref_drag_yarn_ball_and_catch.motion.mp4,prompts/drag_yarn_ball_and_catch.v1.en.txt,09,09-brown-shorthair-classic-tabby,短毛棕色经典虎斑猫,09,09-drag-yarn-ball-and-catch,drag_yarn_ball_and_catch,追扑从画面左向右滚动的毛线球并按住,0,115_09-brown-shorthair-classic-tabby_09-drag-yarn-ball-and-catch_seed-0,4,4.0,24,480,832,15:26,9:16,drag_yarn_ball_and_catch.v1+cat_identity.v1,pending_model_validation,b9b4dd7d657218ccf9e0e5e5e04d3462ee0118bcd340dc05ab3a6b31f41e686b,5b888bc1cdc661bc3b5760445027966ef8d36a31c447614acbd23d3ca6af442e,prompts/cat_identity.v1.json
